cluster,lat,lon
pudiste manana aplicar tu dosis vacuna anti covid acudir modulo ubicado territorio municipal ,19.372499,-98.989059
bj pasar dosis semana aplicando dosis ,19.357102,-99.1919955
mes aplicar dosis ,19.444937,-99.180678
vacuna persona ano comorbilidad padre tutor favor mentir salud hijo persona necesitar vacuna ,19.4043522,-99.128294
favor vacuna extranjero residente mexico querer hacer prueba covid querer extranjero residente paso arboleda tlalnepantla baz ,19.498594,-99.2481811
revisar certificado vacuna digital poner fecha dosis proceder ,19.357102,-99.1919955
semana entrar ano vacuna dosis ,19.2970107,-99.2058092
fecha vacuna rezagados poder vacuna positivo covid fecha tocar vacuna ,19.375769,-99.137171
cuarto dosis adulto acudir ,19.2846922,-99.140238
abrir centro vacuna vacuna llegar mediodia adulto mayor tontito madre ,19.293395020570582,-99.16657767274694
alcaldia gam dosis olvidado equitativo plan logistica ,19.498594,-99.2481811
reportan texcoco nena municipio mexico recibir dosis vacuna aplicacion informacion ,19.3998346,-99.1843501
conferencia como proximo semana vacuna alcaldia estresa conferencia mediodia informando semana dosis destinado como semana designadasdiosas pasar ,19.3998346,-99.1843501
feliz lunes vecino manana iniciar vacuna adulto mayor marzo abril ,19.3998346,-99.1843501
abrir tapan iztacalco dosis ver ,19.0763934,-99.7825792
to consecutivo preguntar respuesta dosis coyoacan ,19.357102,-99.1919955
publicacion semana vacuna mayor ano ,19.3863707,-99.259495
gracias esfuerzo preguntar vacuna adulto mayor influenza covid pasar vacuna gracias ,19.2846922,-99.140238
recuerdo alcaldia eh tocar vacuna mayor ,19.3863707,-99.259495
sobrino tocar dosis vacuna pendiente ,19.2970107,-99.2058092
hablar covid centro salud jose castro villagrana fila nino adulto aplicando vacuna ver adulto canino escribir vacuna chavos hora ,19.087511,-99.315748
emocionante apoyo encerrado mayor vacuna gusto iniciar cerquita campana mercado guardar defendamos esperanza ,19.450025128007017,-99.18594787605572
estimar delegada manana escuchamo subsecretario gatell requisito dosis refuerzo registro previo necesitar identificacion oficial video ,19.232228,-99.324375
cuarto dosis persona demostrar enfermedad cormobil ,19.3998346,-99.1843501
pase iztapalapa siquiera puesto dosis ver indiferencia esposo vacuna junio poner dosis ,19.2846922,-99.140238
pasar mes aplicar dosis ,19.444937,-99.180678
mirar mantenga calma estres alcanzar adulto mayor orden registro indicar toque vacuna veras logro registrar ,19.3998346,-99.1843501
vacuna edomexvacuna adulto mayor pendiente tocar ,19.498594,-99.2481811
fecha concreto alcaldia segundo dosis adulto mayor favor ,19.357102,-99.1919955
mayo vacuna gratuito conejo agenda cita esperar ,19.357102,-99.1919955
coyoacan terminar aplicacion dosis abril adulto mayor ,19.2970107,-99.2058092
sentir respuesta pfizer unico vacuna autorizado menor ano reservo exclusivamente aplicar refuerzo ,19.444937,-99.180678
ocular dome poner vacuna febrero llevar llegar dosis explicar perder efectividad marzo ,19.3059713,-99.4041647
terminar vacuna adulto mover cuajimalpa terminar mientan ,19.232313,-99.364536
retrasaron vacuna alvaro oregon razon ,19.0763934,-99.7825792
leon anunciar fecha sede vacuna covid menor ,19.2970107,-99.2058092
gracias escribir informamo etapa exclusivo dosis persona ano gobierno federal estatal establecer posteriormente fecha adulto mayor poder consultar intervalo vacuna ,19.498594,-99.2481811
chavo rico unido dolio ay dosis vacuna adulto ano alcaldia magdalena contrera gracias alma mater estadio mexico ,19.213113,-99.322812
favor pedimo venir dosis vacuna astrazeneca seneca cumplir mes aplicaron dosis ,19.152878,-99.1600234
persona trabajaremos autodromo semana realizar prueba antigeno tercero pedir certificado vacuna completo persona asistir pedir forma certificado vacuna ,19.232228,-99.324375
vacuna menor edad ecatepec ,19.357102,-99.1919955
aplicacion segundo dosis saludo ,19.444937,-99.180678
noche presidenta informar vacuna aplicarian gracias atencion ,19.2156239,-99.6470277
recordar comenzar vacuna dosis in residente alcaldia azcapotzalco gam programado respetemos organizacion gobierno ciudad ,19.444937,-99.180678
vacuna joven ano edad conmorbilidad finalmente registrar obtener vacuna viernes acceder portal inmunizados terrible enfermedad ,19.43667472979826,-99.13776733273572
aplicando dosis adulto mayor ano aplicando dosis ,19.3668621,-99.067766
metropoli decena adulto mayor fila esperar vacuna covid inmediaciones palacio deporte escuela superior educacion fisico iztacalco re ,19.357102,-99.1919955
rabia vacuna administrar protocolo realidad erradicado ano informar juzgar ,19.2970107,-99.2058092
numeraria infinitamente efectivo contaro dosis aplicado persona vacunadas dosis caer cama pregunte dependencia federal contagiado circunstancia ,19.3998346,-99.1843501
rezagados cuarto dosis autorizado ,19.4043522,-99.128294
gobierno ciudad mexico guardadas gobierno republica reparte determinar vacuna tocar ,19.444937,-99.180678
esperar estrategia federal cabo vacuna adulto mayor eficaz mover potosinosen movimiento ,19.0763934,-99.7825792
sorprender rezagados esperar desperdicien semejante oportunidad alegrar ir vacuna adolescente ,19.2156239,-99.6470277
rezagada dosis mayor ano enero ,19.444937,-99.180678
cuarto dosis mayor ano ,19.444937,-99.180678
normalidad eventualidad transcurrir vacuna adolescente residente ecatepec ,19.3668621,-99.067766
listo vacuna persona ano metete continuamoses cuidando salud ,19.2156239,-99.6470277
situacion rededor palacio deporte adulto mayor alcaldia venir aplicacion dosis ,19.408567186569048,-99.102995766503
deber presentar avance ambos dosis traduccion como recibir ambos dosis avance dosis como indicador significativo ambos dosis ,19.357102,-99.1919955
vacuna menor edad ,19.2846922,-99.140238
semana habemos pedir dosis regresar esperar quedemo urgente gobierno mexico permitir regresar falta dosis ,19.498594,-99.2481811
claudia contesto vacuna madre postrado cama alcaldia iztacalco poner dosis razon local pagina vacuna podria ,19.375769,-99.137171
vacuna testimonio vecino alcaldia coyoacan fila participacion ciudadano ,19.087511,-99.315748
papas mayor ano vacuna jubilado iste insano dinero mano tocar jubilado imss iste ,19.357102,-99.1919955
cantidad vacuna aplicar propuesta su calendario siquiera cantidad adecuado ,19.3998346,-99.1843501
continuar vacuna persona alcaldia coyoacan cuajimalpa magdalena contrera milpa alto corresponder letra a a a ubicar hora sede ,19.232228,-99.324375
iniciar alcaldia tapan vacuna mayor ano ,19.087511,-99.315748
ano limite dosis septiembre ,19.3998346,-99.1843501
disque doctora vacuna astrazeneca detectar edad semana querer vacuna ,19.087511,-99.315748
imagen inicio vacuna anticovid alcaldia tapan esperanza agradecimiento salir persona mayor ano recibir dosis sinovial ,19.295318734383834,-99.21082870507433
mexico unico vacuna aplicar refuerzo dosis ,19.3668621,-99.067766
noche publicaran programa dosis ,19.2156239,-99.6470277
borracho drogadicto dar dosis ano vazquez leon col sa rafael col cuauhtemoc banqueta mandados ,19.4043522,-99.128294
adulto mayor encontrar movilidad querer vacuna ,19.456367,-99.221136
mexico unico vacuna aplicar dosis astrazeneca importar vacuna dosis previo desicion aplicartela ,19.444937,-99.180678
licenciada llegar vacuna alcaldia iztapalapa ,19.357102,-99.1919955
previo jornada sanitizamo sede vacuna recibir tu medida higiene acudir vacuna tu prevencion forma eficaz proteger vida feliz sabado ,19.2156239,-99.6470277
continuar plan nacional vacuna junio aplicar dosis adulto ano alvaro oregon cuauhtemoc benito juarez consulta hora sede ,19.232228,-99.324375
dosis epazoyucan ano recibiste dosis vacuna covid acuda completar esquema ,19.232228,-99.324375
atencion joven ano iztapalapa alvaro oregon coyoacan azcapotzalco vacuna tu vacuna ,19.357102,-99.1919955
faltar vacuna razon impedir acudir cumplir edad escuchar conferencia explicar vacuna forma ,19.3998346,-99.1843501
preparado dosis maximo informacion querido maestro ,19.444937,-99.180678
vecino atizan zaraza jornada vacuna ecatepec idoneo vacuna atizar ,19.51799,-99.330259
cierre cualidad punto vacuna ciudad toma precaucion via alterna tlalnepantla ,19.498594,-99.2481811
vacuna chimalhuacan quedar adulto vacuna ,19.372499,-98.989059
ojo quedar corto calculospara deber millon dosis ,19.2970107,-99.2058092
ojala aplicar dosis ,19.232228,-99.324375
posicion alcalde cabra sonoro librado hacias gonzalez viajar municipio vacuna covid morena ,19.232228,-99.324375
hola trades febrero poner dosis aparecer certificado vacuna arreglar poner refuerzo gracias ,19.357102,-99.1919955
iniciar penultimo aplicacion dosis persona ano ciudad vacuna bajes guardia cubrebocas tlalnepantla ,19.498594,-99.2481811
