cluster,lat,lon
potente vacuna ,19.158446,-98.967727
tocar vacuna joaquin ,19.357102,-99.1919955
ojala vacuna rabia ,19.2970107,-99.2058092
fabuloso dosis abuelito ,19.354814,-98.940043
cyberpunk tope pasaporte digital demostrar vacuna covid ,19.3863707,-99.259495
lamentablemente sintoma gripa vacuna ,19.3863707,-99.259495
gracias refuerzo sputnik ,19.550773038808916,-99.2029815258054
poder aplicar dosis vacuna pfizer aplicado febrero sa andres celula ,19.306018,-98.548953
vacuna covid ayudame diosito ,19.2156239,-99.6470277
diario italiano explicar europo rie vacuna ruso sputnik ,19.232228,-99.324375
vacuna mexico ano ,19.357102,-99.1919955
vacuna iztapalapa puto cagadero leen puto cagadero ,19.2846922,-99.140238
dosis sputnik lote ,19.331979863760115,-99.19221715772866
registre vacuna ,19.357102,-99.1919955
you thought skynet was taking over how about pfizer ,19.412031,-99.413769
vacuna iste tocar andar vacunando lado ,19.0763934,-99.7825792
lote astrazeneca envasado mexico millon dosis prever liberar proximo semana brad ,19.3863707,-99.259495
huixquilucan esperar vacuna covid vacuna dome ,19.550567,-98.91272
vacuna paraiso tela ,19.444937,-99.180678
listomeno vacuna ,19.3863707,-99.259495
vacuna ano hazana ,19.357102,-99.1919955
vacuna pd venir tocar ,19.4933047,-99.1442688
doctor vacuna reaccion persona dolor cabeza autorizo astrazeneca poner dosis reporte astrazeneca efectivo omicron respuesta ,19.2970107,-99.2058092
cientifico amante vacuna ,19.3998346,-99.1843501
error senalar doctor aguilardelfin apostar mejor opcion vacuna cansino sputnik adn plataforma alcaldia tocar sputnik cambiar ,19.444937,-99.180678
hombre embarazan merecer vacuna ,19.3998346,-99.1843501
sip funcione fabrica pfizer europo querer ,19.2970107,-99.2058092
astrazeneca put ,19.3863707,-99.259495
dosis chef ,19.243767,-99.954159
vacuna campo marte mama recibir reconocer felicitar amable pensado organizacion ,19.3863707,-99.259495
breaking yew really need who accept sputnik to travel ,19.357102,-99.1919955
esperar aprobacion moderna ano mes campo prueba aprobacion ano ,19.087511,-99.315748
vacuna vacuna ra ra ra covid ,19.2156239,-99.6470277
falta vacuna listo ,19.412031,-99.413769
dosis sputnik estadio olimpico universitario in coyoacan como ,19.33320356,-99.19116799
hora puesto vacuna ,19.357102,-99.1919955
mundo virtual viernes rico nublado dosis banara ,19.2846922,-99.140238
lograr astrazeneca vacuna ,19.3998346,-99.1843501
vacuna moderna joe bailen ,19.2970107,-99.2058092
poner lobo miguel bese bomba bese bailar vacuna imposible parar bailar aplaudir vacuna ,19.446844052015468,-99.1508609792346
querer hercules and love affair realidad dj set andy butler vacuna ,19.3998346,-99.1843501
vacuna esperar turno cuenta olimpiada ,19.3998346,-99.1843501
vacuna grandecito callado ,19.2846922,-99.140238
llegar mexico mil dosis vacuna ,19.087511,-99.315748
raro efecto dosis ,19.444937,-99.180678
senor vacuna pfizer aguantar ritmo viajecitos miss nazaret ,19.357102,-99.1919955
poner vacuna abuelita ,19.4043522,-99.128294
vacuna moderna haceme prueba por resulte positivo realidad gracias respuesta ,19.3998346,-99.1843501
vamonos vacuna ,19.232313,-99.364536
vacuna cuartopiso mexico city mexico ,19.4326,-99.1332
recibir vacuna sputnik ,19.398955320898928,-99.08892886246893
urgen vacuna benito juarezclaudia haznos casohagan viral ,19.357102,-99.1919955
vacuna funcionar ,19.357102,-99.1919955
pasar benito juarez cordel valle llegar vacunastienen preferenciastodos calle protestar puro brillaremo vacunashaganlo vira ,19.357102,-99.1919955
esquema vacuna completo gracias ,19.408298412636984,-99.1540608668061
aprobado vacuna oms cumplir requisito ,19.232228,-99.324375
viajar argentino revelar aplicando vacuna ,19.3998346,-99.1843501
dosis base actualizada sputnik ,19.497886667010466,-99.17521476745604
creer tocar vacuna ,19.456367,-99.221136
vacuna renuncio simple ,19.3998346,-99.1843501
reportar dosis ,19.3998346,-99.1843501
unico exportando vacuna ,19.357102,-99.1919955
vacuna vacunacioncovid refuerzo ,19.425040206309205,-99.19772386550903
sputnik viajar ahorro diego ,19.357102,-99.1919955
dosis diario ,19.232228,-99.324375
felicidad gracias realidad vacuna ,19.484399,-99.118665
disculpar alguien vacuna ,19.51799,-99.330259
vacuna rezagados tocar vacante tocar lleno vida ,19.0763934,-99.7825792
vacuna ano ,19.357102,-99.1919955
vacuna ey aja ,19.3863707,-99.259495
vacuna dome ke ke vacuna ke seguir cuidando ,19.375099,-98.940638
sinovial acabar contrato opcion astrazeneca sputnik ,19.444937,-99.180678
tovarich torto ruso festejar vacuna tu vacunacionanticovid vacuna sputnik vacuna ,19.309899472452273,-99.17719229086067
sputnik dosis ,19.2970107,-99.2058092
aplicar vacuna desacuerdo ,19.2970107,-99.2058092
vacuna dosis venusiano arrancar organizacion excelente constar ,19.4043522,-99.128294
unido acabar actualizar lista vacuna aceptado entrar pais vacuna amp cansino pfizer moderna astrazeneca sinopharm sinovial covaxin nuvaxoivid conviva medicado viajar ,19.232228,-99.324375
vacuna guiso ,19.3998346,-99.1843501
mercado pintoresca colonia moderna caer granizado reconstruyendo moderna templo ,19.3998346,-99.1843501
vacuna viruela simio apa ,19.3863707,-99.259495
vacuna infantil tarado ,18.3671046,-100.613313
gracias esperar toque esquema vacuna ion gobierno mexico ,19.2846922,-99.140238
movilidad moderna oportunidad mexiquense ,19.0763934,-99.7825792
vacuna padre excelente organizacion palacio deporte ,19.375769,-99.137171
mirar lejos distribuir vacuna ,19.2970107,-99.2058092
brian vacunada ,19.357102,-99.1919955
vacuna millon palo verde escapo albiceleste ,19.3863707,-99.259495
pregunta felipe vacuna politiqueria ,19.232228,-99.324375
union europeo alemania merced ofrecer apoyo moscu entrada vacuna ruso sputnik ue ,19.4043522,-99.128294
iniciado tocar vacuna pesimo logistica ,19.111768613014895,-99.59392211306444
fila vacuna cuahutemoc biblioteca vasconcelos facil cuadras ,19.3998346,-99.1843501
casualmente vacuna chingo distrito republica dome como ,19.0763934,-99.7825792
farmaceutico astrazeneca defender seguridad vacuna anti covid seguridad vacuna estudiado profundidad prueba clinica fase dato confirmar vacuna tolerado zona cero ,19.3863707,-99.259495
oir favor eliminar nota leer resultar patadon hocico sarta estupidez escribieron semana sputnik eliminar ,19.3998346,-99.1843501
autorizado reglamento dosis invermectina paciente covid aprobado dosis especifico tratar gusanos parasitos estrongiloides oncocercosis intestinal topico piel piojo afeccion rosaceo ,19.213113,-99.322812
vacuna rip ,19.2970107,-99.2058092
enferma vacuna echar culpa vacuna ,19.484399,-99.118665
vacuna alumno padre familia capiche gracias respuesta ,19.2846922,-99.140238
gracias vacuna eu ,19.357102,-99.1919955
ir sa francisco saltar fila vacuna moral formato santo ,19.2846922,-99.140238
felicidad vacuna padrisimo camiseta pinchecovid ,19.232313,-99.364536
damn vacuna ,19.456367,-99.221136
veras llegar dosis ,19.484399,-99.118665
felicidad pregunta ciudadano estadounidense dosis ,19.484399,-99.118665
jurado vacuna paps semanita ,19.456367,-99.221136
inicio ted eleccion mexico mexico semaforo verde vacuna equipo pepe teo musico waw mamamo astronomo conan gray ,19.4043522,-99.128294
bola millenians correr vacuna sputnik corresponder provocar desorden ,19.3863707,-99.259495
dosis magdalena contrera gracias ,19.213113,-99.322812
mama lanzar estadio olimpico recibir dosis vacuna ,19.213113,-99.322812
pfizer andar ,19.3998346,-99.1843501
obligacion resaltar logro gobierno querer mencione mananero organizacion centro vacuna perfecto gracias gobierno ,19.3998346,-99.1843501
estupido sputnik matar ,19.2846922,-99.140238
vivo dome querer refuerzo covid astrazeneca poner sputnik dirigir capricho viajar dejar pasar ,19.3668621,-99.067766
percepcion inmunizacion pfizer astrazeneca vacuna valoradas poblacion encuesta telefonico celular nivel nacional julio ,19.2970107,-99.2058092
gracias gracias gracias poner vacuna ,19.357102,-99.1919955
dar cedula vacuna informacion completo ,19.456367,-99.221136
querer revisar tocar papas vacuna refuerzo ,19.198192,-99.0693801
toma siguiente recomendacion recibir vacuna covid ,19.4043522,-99.128294
llegar vacuna ,19.357102,-99.1919955
repetimo dosis nuevamente gracias ,19.433465427833514,-99.14670261368747
circular azcapotzalco ahorita base arena como aplicar vacuna covid policia ,19.456367,-99.221136
ayudar poner vacuna ruso ,19.087511,-99.315748
vacuna covid time astrazeneca ,19.512914746033974,-99.03874397277832
ingrediente principal vacuna patria covid comingo ,19.3998346,-99.1843501
pfizer covid dome semaforo naranja ola astrazeneca ,19.285882,-98.954037
ml vacuna ,19.3059713,-99.4041647
vacuna chispa ,19.357102,-99.1919955
francia australia djkovic cumplir norma vacuna ,19.498594,-99.2481811
ponganse vacuna covid poner ,19.2846922,-99.140238
ive gained weight since the pfizer machine ,19.3998346,-99.1843501
oms aprueba pfizer vacuna covid ,19.232228,-99.324375
ciudad mexico ciento habitante vacuna ,19.232228,-99.324375
carro traian dosis blanquito hahaha ,19.484399,-99.118665
felicidad doctora gracias recibir dosis vacuna ,19.232228,-99.324375
mix traigan lleno formulario dato marca vacuna lote pedir agilizar proceso vacuna ,19.3998346,-99.1843501
registro millon ir vacuna millon restante registrado rapido capturar dato ,19.2970107,-99.2058092
doctor isa chavez diaz maestro vacuna cansino oportunidad viajar extranjero oportunidad dosis refuerzo mexico alto riesgo exposicion ,19.0763934,-99.7825792
israel vacuna bar vender ilusion huecas paso ,19.357102,-99.1919955
buscar vacuna ,19.357102,-99.1919955
dosis vacuna hermana planear salir campo marte ,19.4209301,-99.1932816
dosis puesto perro ,19.3998346,-99.1843501
porrista vacuna ,19.3998346,-99.1843501
vacuna papa ,19.3863707,-99.259495
luchar vacuna experimental ,19.087511,-99.315748
vacuna dosis ,19.087511,-99.315748
doctor aplicar vacuna ,19.498594,-99.2481811
madre influyentismo recibir vacuna ,19.412031,-99.413769
vacuna mexicano ,19.198192,-99.0693801
vacuna querer perrear ,19.3826307,-99.1999159
vacuna vacuna mexico vacunaciondocente ,19.4043522,-99.128294
elegir sede jajajaja poner sputnik sputnik ,19.444937,-99.180678
seguidora enterar ambos dosis vacuna ,19.357102,-99.1919955
vacuna mama ,19.3863707,-99.259495
sputnik sintoma ,19.357102,-99.1919955
decir sputnik nacionalidad ruso feos modos regresame vodka vacunatecono porlosqueyanoesta ,19.319315867481656,-99.11445882913885
eleccion vacuna ,19.357102,-99.1919955
montaje vacuna aire ,19.357102,-99.1919955
seguir cuidando vacuna ,19.2970107,-99.2058092
vacuna menor medicamento tratamiento inhumano ,19.3863707,-99.259495
inter interno modos recetar triple dosis maximo fraccionar dosis microgramos parte ,19.3998346,-99.1843501
volver vacuna sras ,19.394564832023004,-99.17382078605225
aplicacion vacuna ensenar numero lote vacuna jeringa vacio envoltura ver llenar aplicaron ,19.2846922,-99.140238
abuelita recibir vacuna covid ,19.097216,-98.638657
pusiste campo madre tercero perfecto ,19.232228,-99.324375
hola vacuna turista complicacion problema farmacia vs ,19.3863707,-99.259495
felicidad papis dosis vacuna ,19.232228,-99.324375
vacuna poder salir ,19.357102,-99.1919955
dosis recibido gracias dios ,19.357102,-99.1919955
gusto recibir vacuna ,19.4043522,-99.128294
favor ayudar duda necesitar por volar mexico madrid vacuna gracias ,19.3863707,-99.259495
lasvacuno apa ,19.3998346,-99.1843501
vacuna poder video ,19.2970107,-99.2058092
covaxin vacuna india eficacia ,19.4043522,-99.128294
venir ayuda vacuna covid gracias malo ,19.484399,-99.118665
unimo ala comunidad movilidad moderna dome fuerte transporte rapido viaje ,19.158446,-98.967727
punto vacuna importante dosis ,19.51799,-99.330259
reves sputnik refuerzo astrazeneca sentir dolor brazo ,19.3998346,-99.1843501
dejar vacuna ,19.152878,-99.1600234
fila check in mexico pedir certificado vacuna test covid negativo pegaron sticker pasaporte ,19.3998346,-99.1843501
vacuna llore ,19.232228,-99.324375
