id,efecto vacuna covid,lat,lon
2,"['hola', 'marioneta', 'ejercicio', 'vacuna', 'doler', 'brazo', 'calma', 'dolor', 'ten', 'lindo', 'semana']",19.232228,-99.324375
3,"['hola', 'contar', 'aplicaron', 'dosis', 'vacuna', 'unico', 'malestar', 'dolor cabeza', 'viernes', 'directo', 'aviso', 'agita', 'seguir', 'cuidando']",19.087511,-99.315748
4,"['actualizacion', 'vacuna', 'astrazeneca', 'madrugada', 'escalofrio', 'dolor cabeza', 'febricula', 'amaneci', 'chida', 'dolor brazo']",19.087511,-99.315748
5,"['sincero', 'dosis', 'pier', 'efecto', 'sentir', 'dosis', 'astrazeneca', 'sentir', 'dolor cabeza', 'temperatura', 'dolor', 'ojo', 'borroso', 'dormir', 'vomitar', 'perdon', 'critique', 'exageraba']",19.115033,-99.7351564
6,"['ens', 'feria', 'vacuna', 'contagie', 'diabetes', 'hipertension', 'peso', 'hospital', 'gracias', 'dios', 'dolor cabeza', 'atribuir', 'vacuna']",19.3668621,-99.067766
7,"['wey', 'pego', 'sputnik', 'pasar', 'malo', 'noche', 'ahorita', 'dolor cabeza', 'garganta']",19.2846922,-99.140238
8,"['tocar', 'vacuna', 'astrazeneca', 'ahorita', 'dolor']",19.4043522,-99.128294
9,"['pasaste', 'noche', 'afectacion', 'vacuna', 'paracetamol', 'dolor']",19.087511,-99.315748
10,"['dolor', 'leve', 'brazo', 'vacuna', 'dolor cabeza', 'nausea', 'leve', 'dormir', 'seguido', 'duermo', 'determinar', 'efecto', 'hueva', 'natura']",19.2156239,-99.6470277
11,"['vacuna', 'covid', 'ocasion', 'dolor cabeza', 'terrible']",19.3998346,-99.1843501
12,"['acabar', 'cuidado', 'post', 'vacuna', 'manana', 'regresamo', 'oficina', 'toque', 'dosis', 'dolor brazo', 'cuerpo', 'cortar', 'here', 'we', 'go', 'again']",19.498594,-99.2481811
13,"['comentar', 'sintoma', 'leve', 'dolor cabeza', 'cansancio', 'sueno', 'tos', 'comentar', 'doctor', 'consulte', 'joyero', 'esperar', 'todastodo', 'expuesto', 'seguir', 'cuidando', 'feliz', 'miercoles', 'mexico']",19.498594,-99.2481811
14,"['hola', 'doctor', 'frisbie', 'esperar', 'ayudar', 'resolver', 'duda', 'aplicaron', 'vacuna', 'moderna', 'ka', 'ciudad', 'mexico', 'viernes', 'enero', 'dolor brazo', 'empezar', 'escalofrio', 'mareo', 'leve']",19.2970107,-99.2058092
15,"['dolor', 'fuerte', 'brazo', 'cansancio']",19.3998346,-99.1843501
16,"['sentir', 'dolor', 'intenso', 'perder', 'cosmetiquera', 'fiesta', 'brazo', 'vacuna']",19.3863707,-99.259495
17,"['iniciando', 'vacuna', 'fiebre', 'escalofrio', 'dolor cabeza', 'cuerpo', 'cansancio', 'iniciando', 'madrugada']",19.357102,-99.1919955
18,"['cansancio', 'antier', 'noche', 'dolor cabeza']",19.0763934,-99.7825792
19,"['afortunado', 'dosis', 'reaccion', 'dolor', 'abrazo', 'feliz', 'domingo']",19.3059713,-99.4041647
