id,efecto vacuna covid,lon,lat
0,"['ens', 'feria', 'vacuna', 'contagie', 'diabetes', 'hipertension', 'peso', 'hospital', 'gracias', 'dios', 'dolor cabeza', 'atribuir', 'vacuna']",-99.067766,19.3668621
1,"['wey', 'pego', 'sputnik', 'pasar', 'malo', 'noche', 'ahorita', 'dolor cabeza', 'garganta']",-99.140238,19.2846922
2,"['tocar', 'vacuna', 'astrazeneca', 'ahorita', 'dolor']",-99.128294,19.4043522
3,"['vacuna', 'covid', 'ocasion', 'dolor cabeza', 'terrible']",-99.1843501,19.3998346
4,"['hola', 'doctor', 'frisbie', 'esperar', 'ayudar', 'resolver', 'duda', 'aplicaron', 'vacuna', 'moderna', 'ka', 'ciudad', 'mexico', 'viernes', 'enero', 'dolor brazo', 'empezar', 'escalofrio', 'mareo', 'leve']",-99.2058092,19.2970107
5,"['dolor', 'fuerte', 'brazo', 'cansancio']",-99.1843501,19.3998346
6,"['sentir', 'dolor', 'intenso', 'perder', 'cosmetiquera', 'fiesta', 'brazo', 'vacuna']",-99.259495,19.3863707
7,"['iniciando', 'vacuna', 'fiebre', 'escalofrio', 'dolor cabeza', 'cuerpo', 'cansancio', 'iniciando', 'madrugada']",-99.1919955,19.357102
8,"['pegar', 'fuerte', 'muchisimo', 'sueno', 'cansancio', 'dolor', 'articulacion', 'brazo', 'fiebre']",-99.180678,19.444937
9,"['tocar', 'dosis', 'refuerzo', 'covid', 'sputnik', 'baby', 'baby', 'sufrir', 'dolor', 'bracito', 'sentir', 'volviendo', 'zombie', 'covidvacine', 'institutonacionaldamica']",-99.15003469,19.28650841
10,"['mamita', 'vacuna', 'reaccion', 'fuerte', 'fiebre', 'intenso', 'dolor cabeza']",-99.140238,19.2846922
11,"['efecto', 'vacuna', 'mandados', 'dolor', 'cadera', 'paracetamol', 'colico', 'dolor cabeza', 'dolor', 'cadera', 'neta', 'ganar', 'cadera']",-99.2058092,19.2970107
12,"['sabado', 'banda', 'shower', 'chamba', 'efecto', 'dosis', 'dolor brazo', 'duermo', 'izquierdo', 'twit']",-99.118665,19.484399
13,"['mediodia', 'dolor cabeza', 'fatiga', 'vacuna', 'astrazeneca']",-99.1843501,19.3998346
14,"['insomnio', 'dolor muscular', 'dolor cabeza', 'levantar', 'sputnik']",-99.180678,19.444937
15,"['salir', 'reaccion', 'vacuna', 'quedar', 'sueno', 'dormir', 'semejante', 'dolor cabeza', 'fiebre']",-99.1843501,19.3998346
16,"['preguntar', 'dolor brazo', 'izquierdo', 'vacuna', 'volvi', 'cyborg', 'toque', 'vacuna', 'duden', 'fucking', 'covid']",-99.1843501,19.3998346
17,"['quedate', 'vacuna', 'doler', 'brazo', 'out', 'cuerpo', 'cortar', 'leve', 'dolor cabeza', 'noche', 'temperatura', 'escalofrio', 'super', 'raro', 'mundo', 'dosis', 'pone', 'miedo']",-99.1843501,19.3998346
18,"['bro', 'fiebre', 'dolor cabeza', 'pasar', 'vacuna', 'ayudar']",-99.1919955,19.357102
19,"['vacuna', 'tocar', 'can', 'sentir', 'sabor', 'raro', 'garganta', 'nariz', 'leve', 'dolor cabeza', 'esperar', 'vacuna', 'vacuna', 'vacunacionpersonaleducativo', 'maestravacunada', 'chip']",-99.08240347,19.31218176
20,"['dolor brazo', 'fiebre', 'cansancio', 'paracetamol', 'quite', 'sputnik']",-99.1843501,19.3998346
21,"['hermano', 'vacuna', 'presentar', 'dolor brazo', 'dolor cabeza', 'indicacion', 'dolor']",-99.0693801,19.198192
22,"['participe', 'fase', 'cansino', 'mes', 'tocar', 'vacuna', 'placebo', 'fiebre', 'dolor', 'articulacion', 'nausea', 'ceder', 'paracetamol', 'morir', 'recomendable']",-99.259495,19.3863707
23,"['vacuna', 'astral', 'freaks', 'confirmar', 'fiebre', 'dolor', 'chingon']",-99.137171,19.375769
24,"['sputnik', 'monte', 'dolor cuerpo', 'incomodo', 'permitir', 'dormir', 'minuto', 'leve', 'dolor cabeza']",-99.180678,19.444937
25,"['dosis', 'madrina', 'coxis', 'dolor', 'osteoarticular', 'jijolavrga', 'astrazeneca']",-99.18481663,19.41099045
26,"['sputnik', 'vanessa', 'madrugada', 'fiebre', 'escalofrio', 'dolor brazo', 'agradecer', 'dios', 'manito', 'inventado', 'paracetamol']",-99.1843501,19.3998346
27,"['dosis', 'astrazeneca', 'reaccion', 'practicamente', 'nulo', 'excepcion', 'ligero', 'dolor cabeza', 'brazo', 'dosis', 'semana', 'reaccion']",-99.1919955,19.357102
28,"['pego', 'dosis', 'fiebre', 'dolor cabeza', 'fuerte', 'efecto', 'tempura']",-99.1843501,19.3998346
29,"['persona', 'confirmar', 'reaccion', 'vacuna', 'hambre', 'voraz', 'esperar', 'dolor', 'insoportable', 'articulacion']",-99.1919955,19.357102
30,"['amigo', 'postvacuna', 'covid', 'unico', 'efecto', 'adverso', 'dolor brazo', 'cansancio']",-99.1843501,19.3998346
31,"['dolor brazo', 'cansancio', 'leve']",-99.067766,19.3668621
32,"['mama', 'vacuna', 'fiebre', 'dolor cabeza', 'cuerpo', 'vacuna', 'papa', 'miedo', 'sintoma', 'fuerte', 'don', 'andar']",-99.140238,19.2846922
33,"['traumada', 'dolor muscular', 'pensar', 'covid']",-99.1919955,19.357102
34,"['moderna', 'reaccion', 'venir', 'cama', 'dolor brazo', 'inyectan', 'minuto', 'duro']",-99.1843501,19.3998346
35,"['suponer', 'reportar', 'experiencia', 'vacuna', 'moderna', 'aplicacion', 'dolor brazo', 'perduro', 'alivian', 'paracetamol', 'pasar', 'pd', 'robot']",-99.118665,19.484399
36,"['precisamente', 'vacuna', 'unico', 'sentir', 'dolor brazo', 'izquierdo']",-99.1569551,19.42187144
37,"['tocar', 'sputnik', 'incomodidad', 'dolor brazo', 'duro', 'esperar', 'leve']",-99.2058092,19.2970107
38,"['regreso', 'vacunada', 'proceso', 'durar', 'veinte', 'minuto', 'agil', 'chance', 'reposar', 'ratito', 'dolor brazo', 'moderna', 'vacunacionanticovid']",-99.118665,19.484399
39,"['vacuna', 'astrazeneca', 'seneca', 'especimen', 'presentar', 'fiebre', 'mantener', 'alimentar', 'hidratado', 'presentar', 'dolor brazo', 'sueno', 'mover', 'pique', 'varita', 'seguir', 'vivo']",-99.180678,19.444937
40,"['canto', 'victoria', 'seguir', 'fuerte', 'dolor brazo', 'hipotesis', 'reaccion', 'moderna', 'principal', 'robot']",-99.118665,19.484399
41,"['tumbado', 'cama', 'fiebre', 'dolor cuerpo', 'cansancio', 'vacuna', 'pasar', 'esposa', 'vacuna']",-99.1919955,19.357102
42,"['vacuna', 'papas', 'dolor cuerpo', 'cansancio']",-99.1919955,19.357102
43,"['vacuna', 'miercoles', 'sintoma', 'reaccion', 'nausea', 'dolor cuerpo', 'cabeza', 'cansancio', 'generalizado', 'amaneci']",-99.1843501,19.3998346
44,"['dosis', 'astrazeneca', 'cansado', 'dormir', 'despertar', 'dolor', 'molesto', 'efecto', 'secundario']",-99.1843501,19.3998346
45,"['hablar', 'vacuna', 'amigo', 'conocido', 'reaccion', 'canon', 'vacuna', 'sorprender', 'reaccion', 'dolor brazo', 'vacuna', 'afortunado']",-98.989059,19.372499
46,"['dosis', 'aplicaron', 'mediodia', 'mediodia', 'reaccion', 'desperte', 'empapado', 'sudor', 'dolor cabeza', 'cansado', 'agua', 'paracetamol', 'dosis', 'reaccion']",-99.180678,19.444937
47,"['sputnik', 'vino', 'dolor cabeza', 'super', 'odioso', 'somnolencia']",-99.1919955,19.357102
48,"['efecto', 'vacuna', 'tos', 'dolor garganta', 'anoche', 'subir', 'temperatura', 'disculpar', 'molestia', 'gracias']",-99.2058092,19.2970107
49,"['vacuna', 'dosis', 'astrazeneca', 'recibir', 'vacuna', 'dolor brazo', 'sintoma', 'esperar', 'seguir', 'foto', 'subire', 'tren', 'mame']",-99.140238,19.2846922
50,"['temperatura', 'madrugada', 'dolor brazo', 'divino', 'foto', 'video', 'vacuna', 'foto', 'mareada', 'after', 'vacuna']",-99.1919955,19.357102
51,"['papas', 'vacuna', 'horrible', 'sintoma', 'embarazo', 'junten', 'dolor cabeza', 'temperatura']",-99.0693801,19.198192
52,"['vacuna', 'efecto', 'recordar', 'bello', 'dolor', 'mano', 'pierna', 'precioso', 'sueno', 'cansancio']",-99.259495,19.3863707
53,"['aplicaron', 'vacunamoderna', 'vocacional', 'astrazeneca', 'pasar', 'reaccion', 'molestia', 'extremidad', 'dolor', 'ligero', 'ardor', 'lengua', 'levemente', 'escaldada', 'aumento', 'temperatura']",-99.140238,19.2846922
54,"['temperatura', 'dolor cabeza', 'cuerpo', 'seguir', 'vivo', 'paracetamol', 'vacante', 'vacuna', 'astrazeneca']",-99.09996271,19.40519325
55,"['dormir', 'reaccion', 'vacuna', 'pegar', 'fuerte', 'preferir', 'virus']",-99.1843501,19.3998346
56,"['alguien', 'vacuna', 'recientemente', 'sputnik', 'etiqueta', 'azul', 'reaccion']",-99.118665,19.484399
57,"['actualizacion', 'sentir', 'patada', 'sentir', 'fuerte', 'astrazeneca', 'sputnik']",-99.259495,19.3863707
58,"['sentir', 'mega', 'mareado', 'sputnik', 'normal', 'bicho']",-99.1919955,19.357102
59,"['vacuna', 'refuerzo', 'sputnik', 'empezar', 'sentir', 'cansancio']",-99.180678,19.444937
60,"['opinion', 'vivi', 'vacuna', 'proceso', 'indicacion', 'efecto', 'secundario', 'fiebre', 'dolor brazo', 'cansancio', 'dolor cabeza', 'comezon', 'zona', 'piquete', 'pedir', 'alcohol']",-99.1919955,19.357102
61,"['pasar', 'sputnik', 'sentir', 'cansancio', 'escalofrio', 'reportar']",-99.1843501,19.3998346
62,"['dosis', 'vacuna', 'efecto', 'secundario', 'nausea', 'yadiositoporfavor']",-99.1843501,19.3998346
63,"['recibi', 'vacuna', 'estatus', 'mediodia', 'fiebre', 'cuerpo', 'cortar', 'dolor cabeza', 'obvio', 'llore', 'dolor', 'mediodia', 'cuerpo', 'cortar', 'dolor cabeza', 'esperar', 'toque', 'dosis', 'sentar', 'vacuna', 'astrazeneca']",-99.1843501,19.3998346
64,"['mediodia', 'dolor cabeza', 'poquito', 'fiebre', 'vacuna', 'astrazeneca']",-99.1843501,19.3998346
65,"['vacuna', 'sentir', 'cansado', 'sueno', 'normal']",-99.2058092,19.2970107
66,"['reaccion', 'secundario', 'vacuna', 'sentir', 'fiebre', 'fatiga', 'dolor brazo', 'covid']",-99.1919955,19.357102
67,"['sueno', 'matador', 'mediodia', 'entrecerrar', 'acabar', 'abrir', 'dolor muscular', 'cansancio', 'pensar', 'sputnik', 'oh', 'sorpresa', 'resultar', 'menstruando', 'leve']",-99.2058092,19.2970107
68,"['sentir', 'cuerpo', 'cortar', 'vacuna']",-99.259495,19.3863707
69,"['andar', 'sacale', 'punta', 'vacuna', 'amaneci', 'fiesta', 'anoche', 'dolor cabeza', 'dolor cuerpo', 'pedir', 'birria', 'malestar', 'jajaja']",-99.1919955,19.357102
70,"['astrazeneca', 'dosis', 'dolor cabeza', 'intenso', 'tos', 'dificultad respirar', 'cansancio', 'desaparecio']",-99.1919955,19.357102
71,"['post', 'vacuna', 'dolor cabeza', 'brazo', 'doler', 'punto', 'levantar', 'febricular']",-99.1919955,19.357102
72,"['calentura', 'vacuna', 'despierto', 'chingo', 'hambre', 'antojo', 'marchar', 'salsito']",-99.1600234,19.152878
73,"['sputnik', 'fatiga', 'dolor', 'leve', 'hombro']",-99.1843501,19.3998346
74,"['sputnik', 'sabado', 'reaccion', 'cansancio', 'dolor articular', 'fuerte', 'durar', 'ahorita', 'doler', 'comence', 'dolor cabeza']",-99.2058092,19.2970107
75,"['dolor', 'dolor', 'vacuna', 'dolorosa']",-99.1843501,19.3998346
76,"['reaccion', 'vacuna', 'dolor cabeza', 'cuerpo', 'cortar', 'fiebre']",-99.259495,19.3863707
77,"['vacuna', 'sueno', 'traer', 'dolor']",-99.2058092,19.2970107
78,"['wow', 'causo', 'cansancio', 'cuerpo', 'cortar', 'gripe', 'sputnik']",-99.128294,19.4043522
79,"['dolor cuerpo', 'fuerte', 'dolor cabeza', 'dolor brazo', 'aplicar', 'vacuna', 'procurar', 'vacuna', 'comenzar', 'paracetamol']",-99.1919955,19.357102
80,"['doctor', 'dosis', 'vacuna', 'sentir', 'terriblemente', 'fiebre', 'pesadilla', 'parestesia', 'dolor brazo', 'caer', 'noche', 'intenso', 'sugerir', 'dosis', 'agregar', 'certeza', 'disponibilidad', 'dosis']",-99.1600234,19.152878
81,"['normal', 'quedar', 'tos', 'post', 'vacuna', 'companero', 'traer', 'especie', 'pequeno', 'covid', 'posterior', 'vacuna']",-99.118665,19.484399
82,"['efecto', 'secundario', 'astrazeneca', 'cansancio', 'kilometro']",-99.180678,19.444937
83,"['plate', 'dolor brazo', 'cansancio', 'leve', 'dolor cabeza', 'comparable', 'migrana', 'oseo', 'super', 'leve', 'asunto', 'sputnik']",-99.2058092,19.2970107
84,"['salir', 'profe', 'tocar', 'cansino', 'torcio', 'feo', 'jeje', 'dolor cuerpo', 'ligero', 'fiebre', 'very', 'we']",-99.1919955,19.357102
85,"['pfizer', 'dosis', 'mareos', 'leve', 'cansancio', 'dosis', 'cansancio', 'mareos', 'dolor', 'inyeccion']",-99.259495,19.3863707
86,"['normal', 'mes', 'vacuna', 'covid', 'dolor', 'rodilla', 'deber', 'preocupar']",-99.1919955,19.357102
87,"['vengo', 'oscuridad', 'sobrevivi', 'noche', 'post', 'vacuna', 'ruso', 'dolor cabeza', 'cuerpo', 'apendejamiento', 'fiebre', 'pinta']",-99.180678,19.444937
88,"['puse', 'reaccion', 'dolor brazo', 'aclaro', 'dolor', 'inicio', 'vacuna']",-99.1843501,19.3998346
89,"['quejar', 'vacuna', 'astrazeneca', 'cansancio', 'dolor muscular', 'comparara', 'sintoma', 'enfermedad', 'padecer', 'secuela', 'mame']",-99.1843501,19.3998346
90,"['sentir', 'desvelada', 'parada', 'fila', 'pasar', 'frio', 'hambre', 'vacuna']",-99.118665,19.484399
91,"['hablar', 'experiencia', 'sputnik', 'doler']",-99.2058092,19.2970107
92,"['vacuna', 'recibimos', 'dosis', 'vacuna', 'pfizer', 'sentir', 'absolutamente', 'fatal', 'dolor brazo', 'dolor pierna', 'frio', 'malestar', 'fiebre', 'cansancio', 'confiar', 'pasar', 'vacuna', 'covid']",-99.259495,19.3863707
93,"['cuento', 'moderna', 'sentir', 'fatal']",-99.1843501,19.3998346
94,"['vacuna', 'noche', 'sueno', 'frio', 'fiebre', 'toma', 'paracetamol', 'agua', 'quitar', 'podras', 'dormir', 'animo']",-99.259495,19.3863707
95,"['fiebre', 'esteril', 'pendejo', 'afectar', 'quedo', 'esteril', 'pendejo', 'experiencia', 'manejando', 'astrazeneca', 'mano', 'faltar', 'miedo']",-99.259495,19.3863707
96,"['dolerme', 'brazo', 'post', 'vacuna']",-99.1843501,19.3998346
97,"['reportar', 'matutino', 'post', 'vacuna', 'covid', 'doler', 'cabeza', 'pasar', 'adolorido', 'meu', 'coranto']",-99.259495,19.3863707
98,"['moderna', 'dolor brazo', 'astrazeneca', 'noche', 'sentir', 'crudo']",-99.1843501,19.3998346
99,"['quitar', 'dolor brazo', 'vacuna', 'doler']",-99.259495,19.3863707
100,"['noche', 'frio', 'cansancio', 'dolor pierna', 'dolor brazo', 'inyeccion', 'brazo', 'duermo', 'dolio', 'recargar']",-99.1919955,19.357102
