id,url,date,content,likeCount,retweetCount,replyCount,coordinates,place,latitud,longitud,radio,tweet_tokenizado,palabra_clave
1531991186424090624,https://twitter.com/ViajesYTecno/status/1531991186424090624,2022-06-01 13:28:56+00:00,"Estados Unidos acaba de actualizar su lista de vacunas aceptadas para entrar a su país y si se vacunaron con Johnson &amp; Johnson, Cansino, Pfizer, Moderna, AstraZeneca, Sinopharm, Sinovac, Covaxin, Nuvaxoivid, Covivax y Medicago ya pueden viajar.",2,1,0,"{'longitude': -99.324375, 'latitude': 19.232228}","{'fullName': 'Álvaro Obregón, Distrito Federal', 'name': 'Álvaro Obregón', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['unido', 'acabar', 'actualizar', 'lista', 'vacuna', 'aceptado', 'entrar', 'pais', 'vacuna', 'amp', 'cansino', 'pfizer', 'moderna', 'astrazeneca', 'sinopharm', 'sinovial', 'covaxin', 'nuvaxoivid', 'conviva', 'medicado', 'viajar']",Johnson   Johnson
1510055676646764551,https://twitter.com/LaSalle_MX/status/1510055676646764551,2022-04-02 00:45:03+00:00,"Les invitamos de 4 al 7 de abril a la Feria de Empleo Virtual La Salle, en donde podrán colocar su CV dentro de las mejores compañías y recibir una excelente capacitación de empresas como Johnson &amp; Johnson, Henkel, Danone, entre otras. Más información en: https://t.co/aRfJtQoJPQ https://t.co/WuBtp7NKKh",26,6,1,"{'longitude': -99.259495, 'latitude': 19.3863707}","{'fullName': 'Miguel Hidalgo, Distrito Federal', 'name': 'Miguel Hidalgo', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['invitamo', 'abril', 'feria', 'virtual', 'salle', 'colocar', 'cv', 'mejor', 'compania', 'recibir', 'excelente', 'capacitacion', 'empresa', 'amp', 'hansel', 'damone', 'informacion']",Johnson   Johnson
1493456444317913088,https://twitter.com/TaideEstivali/status/1493456444317913088,2022-02-15 05:25:38+00:00,"Oigan si tengo vacuna Johnson &amp; Johnson pero ya vivo en cdmx, como le hago pa mi refuerzo? 😔",0,0,2,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['oigan', 'vacuna', 'amp', 'vivo', 'como', 'refuerzo']",Johnson   Johnson
1489308597582548992,https://twitter.com/pablinskiki/status/1489308597582548992,2022-02-03 18:43:34+00:00,Ningún efecto secundario en alguna de mis dos dosis de Johnson&amp;Johnson.,0,0,0,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['efecto', 'secundario', 'dosis', 'johnsonampjohnson']",Johnson   Johnson
1469354699459547137,https://twitter.com/Aniaibanez/status/1469354699459547137,2021-12-10 17:13:54+00:00,"I'm at Johnson &amp; Johnson in Ciudad de México, CDMX https://t.co/JHOgxHuB3z",0,0,0,"{'longitude': -99.219644, 'latitude': 19.312859}","{'fullName': 'Álvaro Obregón, Distrito Federal', 'name': 'Álvaro Obregón', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['im', 'at', 'amp', 'in', 'ciudad', 'mexico', 'como']",Johnson   Johnson
1448309840384770053,https://twitter.com/AnnaDelAire/status/1448309840384770053,2021-10-13 15:29:08+00:00,"El CDC informa que, a partir de noviembre, podrán ingresar a Estados Unidos las personas que estén vacunadas con las siguientes vacunas:

✅ Moderna
✅ Pfizer
✅ Johnson &amp; Johnson
✅ Astrazeneca
✅ Sinopharm 
✅ Sinovac

Aún  no aprobadas por ls OMS
❌ Sputnik
❌ Cansino",16,6,4,"{'longitude': -99.128294, 'latitude': 19.4043522}","{'fullName': 'Venustiano Carranza, Distrito Federal', 'name': 'Venustiano Carranza', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['cdc', 'informar', 'noviembre', 'ingresar', 'unido', 'persona', 'vacunadas', 'siguiente', 'vacuna', 'moderna', 'pfizer', 'amp', 'astrazeneca', 'sinopharm', 'sinovial', 'aprobado', 'oms', 'sputnik', 'cansino']",Johnson   Johnson
1444039162655645703,https://twitter.com/Rojstar/status/1444039162655645703,2021-10-01 20:38:59+00:00,Ella se refiere a la Jenssen Johnson &amp; Johnson. #lipsync #México #comedia #parodia #LynMay #cubrebocas #México #vacúnense https://t.co/DJ86ItSTc9,19,1,3,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['referir', 'jensen', 'amp', 'lipsynn', 'mexico', 'comedia', 'parodia', 'may', 'cubrebocas', 'mexico', 'vacunense']",Johnson   Johnson
1443050580730126339,https://twitter.com/madoba7/status/1443050580730126339,2021-09-29 03:10:43+00:00,"Hola, San Johnson &amp; Johnson, soy yo de nuevo.",10,0,3,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['hola', 'sa', 'amp']",Johnson   Johnson
1426204952465231875,https://twitter.com/PakolunaJuarez/status/1426204952465231875,2021-08-13 15:32:12+00:00,"PROXIMAMENTE EN LOS BAILES : El SONIDO 🎤

-¿Donde esta mi gente de Pfizeeer? 💉

-¡Levanten la mano los de astrazenecaaaa! 💉

-¡Una bulla los de Johnson
&amp; Johnson  💉

-¡No escuchó a la gente de moderna 💉",0,0,0,"{'longitude': -99.137171, 'latitude': 19.375769}","{'fullName': 'Iztacalco, Distrito Federal', 'name': 'Iztacalco', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['proximamente', 'bail', 'sonido', 'gente', 'pfizer', 'levantar', 'mano', 'astrazeneca', 'bulla', 'amp', 'escuchar', 'gente', 'moderna']",Johnson   Johnson
1422550292810379265,https://twitter.com/aschiari/status/1422550292810379265,2021-08-03 13:29:54+00:00,De que me sirve trabajar entre el corporativo de Pfizer y el de Johnson &amp; Johnson si en sus ventas corporativas no van a vender su vacuna 💉🙄,1,0,0,"{'longitude': -99.364536, 'latitude': 19.232313}","{'fullName': 'Cuajimalpa de Morelos, Distrito Federal', 'name': 'Cuajimalpa de Morelos', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['servir', 'corporativo', 'pfizer', 'amp', 'venta', 'corporativa', 'vender', 'vacuna']",Johnson   Johnson
