id,url,date,content,likeCount,retweetCount,replyCount,coordinates,place,latitud,longitud,radio,tweet_tokenizado,palabra_clave
1573084993416744961,https://twitter.com/marccrosas/status/1573084993416744961,2022-09-22 23:01:03+00:00,"Nuestros análisis absolutistas de Twitter. Jugadores que funcionan (y mucho) en un determinado contexto. 

Janssen lleva 6 goles en sus últimos 5 juegos en Bélgica y es internacional con Países Bajos. Aquí algunos le llamaban “malo”… https://t.co/8x2dnerK0B",116,8,33,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['analisis', 'absolutista', 'twitter', 'jugador', 'funcionar', 'determinado', 'contexto', 'janssen', 'gol', 'juego', 'belgica', 'internacional', 'pais', 'bajo', 'llamar', 'malo']",janssen
1573047582292598793,https://twitter.com/GuillermoA25/status/1573047582292598793,2022-09-22 20:32:24+00:00,"Uy!! El Janssen (el 9 Países Bajos) es rapidísimo, debería contratarlo Rayados de Monterrey",0,0,0,"{'longitude': -99.221136, 'latitude': 19.456367}","{'fullName': 'Azcapotzalco, Distrito Federal', 'name': 'Azcapotzalco', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['uyo', 'janssen', 'pais', 'bajo', 'rapidisimo', 'deber', 'contratar', 'rayado', 'monterrey']",janssen
1560057899317186562,https://twitter.com/EwinAldrin/status/1560057899317186562,2022-08-18 00:16:02+00:00,Simon Uche tiene los mismo campeonatos que Maxi Meza y Janssen jajaja https://t.co/S2siV5d2VI https://t.co/aUUmj2zOEx,0,0,1,"{'longitude': -99.6470277, 'latitude': 19.2156239}","{'fullName': 'Metepec, México', 'name': 'Metepec', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['simon', 'eche', 'campeonato', 'maxi', 'meza', 'janssen', 'jajaja']",janssen
1549818788509630465,https://twitter.com/Nayelinski/status/1549818788509630465,2022-07-20 18:09:28+00:00,"Poderosa y poética. #WPPh2022 

Photo: The Cinema of Kabul, Bram Janssen | The Associated Press. https://t.co/CckHqJBax8",2,0,1,"{'longitude': -99.14350704298607, 'latitude': 19.43723463588988}","{'fullName': 'Museo Franz Mayer', 'name': 'Museo Franz Mayer', 'type': 'poi', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['poderoso', 'poetica', 'ph', 'photo', 'the', 'cinema', 'of', 'kabul', 'bram', 'janssen', 'the', 'associated', 'press']",janssen
1541430765384355840,https://twitter.com/ArizpeMiguelZ/status/1541430765384355840,2022-06-27 14:38:27+00:00,"Vincent Petrus Anna 
Sebastiaan Janssen. https://t.co/9fajBb3dUx",18,0,10,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['vincent', 'petrus', 'anna', 'sebastian', 'janssen']",janssen
1538195554852818944,https://twitter.com/mariamiamors/status/1538195554852818944,2022-06-18 16:22:53+00:00,Oficialmente Janssen tiene nuevo equipo https://t.co/td7goywwcY,13,0,2,"{'longitude': -99.2058092, 'latitude': 19.2970107}","{'fullName': 'Coyoacán, Distrito Federal', 'name': 'Coyoacán', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['oficialmente', 'janssen', 'equipo']",janssen
1537801669966168066,https://twitter.com/moreno_lennon/status/1537801669966168066,2022-06-17 14:17:43+00:00,"@Rod_Martinez_ @SimpsonitoMX @LigaBBVAMX Ya se, Gignac fue un garbanzo de libra todos los demas (janssen, menez, tauvin) vinieron a cobrar y ya:",1,0,1,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['digno', 'garbanzo', 'libra', 'janssen', 'meneo', 'marvin', 'vinieron', 'cobrar']",janssen
1537459764669595655,https://twitter.com/JuCaZuHe/status/1537459764669595655,2022-06-16 15:39:07+00:00,"@GzuzPF @VI_4Vicius Janssen creo es el peor argumento que puedes tener, no se comparan ni tsntito sus momentos",0,0,0,"{'longitude': -99.5720087, 'latitude': 19.2218831}","{'fullName': 'Lerma, México', 'name': 'Lerma', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['janssen', 'argumento', 'poder', 'comparan', 'tontito', 'momento']",janssen
1536812119219482625,https://twitter.com/ArizpeMiguelZ/status/1536812119219482625,2022-06-14 20:45:36+00:00,"Hoy Janssen tuvo…
1 Pre leche 
1 Pre queso.

Como lo comento en 
DESDE EL ÁNGEL…

Jugador de Pre pre https://t.co/TaaVXp00Bp",24,1,15,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['janssen', 'pre', 'leche', 'pre', 'queso', 'comentar', 'angel', 'jugador', 'pre', 'pre']",janssen
1536514144882634759,https://twitter.com/ArizpeMiguelZ/status/1536514144882634759,2022-06-14 01:01:33+00:00,"Adiós, Janssen…
Poco a poco te pierdes
ya en el horizonte https://t.co/W9cHTk0EOh",72,3,19,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['adios', 'janssen', 'perder', 'horizonte']",janssen
1536507731372396546,https://twitter.com/ArizpeMiguelZ/status/1536507731372396546,2022-06-14 00:36:04+00:00,"Lo increíble es que había 
quien decía que Janssen 
fue muy buena compra y 
tenía calidad mayúscula…

Entiendo la porra, por eso 
mejor no contestábamos.",150,8,39,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['increible', 'decir', 'janssen', 'compra', 'calidad', 'mayuscula', 'entender', 'porra', 'contestamo']",janssen
1536502248070586372,https://twitter.com/ArizpeMiguelZ/status/1536502248070586372,2022-06-14 00:14:17+00:00,"Ciao Janssen.

Se acabó la muy mala estadía de 3 años en Rayados.

De lo peor en resultados de ese jugador.

Pero ya se va",558,47,95,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['ciao', 'janssen', 'acabar', 'malo', 'estadia', 'ano', 'rayado', 'resultado', 'jugador']",janssen
1535280122617548801,https://twitter.com/HuggoCarrillo/status/1535280122617548801,2022-06-10 15:18:00+00:00,"@javialonsordz ¿Quién critica al pobre Janssen? Jajaja es que si se la maman en tu terruño, amigo. Les gana la pasión.",1,0,0,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['criticar', 'pobre', 'janssen', 'jajaja', 'maman', 'terruno', 'amigo', 'ganar', 'pasion']",janssen
1534956745096839169,https://twitter.com/ArizpeMiguelZ/status/1534956745096839169,2022-06-09 17:53:00+00:00,"Es verdad que se ensalza que en centros de práctica Funes anote y que en un tiro Janssen anote.

¿Es verdad lo que ponen o es de broma?

¿Tanto se ha bajado la calidad en el equipo que ya se ve eso como esperanza?",94,9,34,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['ensalzar', 'centro', 'practica', 'lunes', 'anote', 'tiro', 'janssen', 'anote', 'poner', 'broma', 'bajar', 'calidad', 'equipo', 'ver', 'esperanza']",janssen
1529067605859893249,https://twitter.com/ArizpeMiguelZ/status/1529067605859893249,2022-05-24 11:51:40+00:00,"DESDE EL ÁNGEL…
(Regía)

✍️ La lista de Vuce ❌ y ✅
✍️ Le pusieron el nombre de Martín Ojeda, de Godoy Cruz, pero…
✍️ ¿Por quién se muere Vuce?
✍️ ¿Y Krane?
✍️ Janssen y Romo
✍️ ¿Quién llenó la boleta de cambio en Tigres 🤦🏻‍♂️? Aquí te digo.

RT…Gracias.

https://t.co/6zXCjHJzQA https://t.co/t6ce4JZ5I3",123,42,22,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['angel', 'regia', 'lista', 'lucir', 'poner', 'nombre', 'martin', 'ojeada', 'godoy', 'cruz', 'morir', 'lucir', 'kane', 'janssen', 'romo', 'llenar', 'boleto', 'cambio', 'tigre', 'decir', 'gracias']",janssen
1528565265256038402,https://twitter.com/ArizpeMiguelZ/status/1528565265256038402,2022-05-23 02:35:33+00:00,"Y mira que para que traiga más nivel Janssen, es que ya está cabrón, querido 🐎 https://t.co/roOT0MxbXp",10,0,3,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['mirar', 'traiga', 'nivel', 'janssen', 'cabron', 'querer']",janssen
1527012455397965831,https://twitter.com/ArizpeMiguelZ/status/1527012455397965831,2022-05-18 19:45:14+00:00,"Si me pides un…
4.- pongo a Sebastiaan 
Y ya exigiendo un…
5.- Pos Janssen https://t.co/9HtvGp4jVV",1,0,3,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['pides', 'poner', 'sebastian', 'exigir', 'janssen']",janssen
1525169580192124928,https://twitter.com/barreraerick89/status/1525169580192124928,2022-05-13 17:42:18+00:00,La selección de países bajos cuando vean jugar a Vincent Janssen 😵‍💫 https://t.co/QC5L2CTP4L,2,0,0,"{'longitude': -99.315748, 'latitude': 19.087511}","{'fullName': 'Tlalpan, Distrito Federal', 'name': 'Tlalpan', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['seleccion', 'pais', 'bajo', 'ver', 'jugar', 'vincent', 'janssen']",janssen
1525129806052040704,https://twitter.com/ArizpeMiguelZ/status/1525129806052040704,2022-05-13 15:04:15+00:00,"Si en México Tata llama a 
Pizarro y a Gallardo, ¿nos 
sorprende que en Holanda 
llamen a Petrus Anna 
Sebastiaan Janssen? No🤷🏻‍♂️ https://t.co/ctzjY6eWNH",26,3,16,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['mexico', 'tata', 'llamar', 'pizarra', 'gallardo', 'sorprender', 'holanda', 'llamar', 'petrus', 'anna', 'sebastian', 'janssen']",janssen
1523147386230509569,https://twitter.com/amartinezdeleon/status/1523147386230509569,2022-05-08 03:46:50+00:00,@Patottas No quieres saber nada de Vincent Janssen?,1,0,0,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['querer', 'vincent', 'janssen']",janssen
