id,url,date,content,likeCount,retweetCount,replyCount,coordinates,place,latitud,longitud,radio,tweet_tokenizado,palabra_clave
1573760715822956545,https://twitter.com/oshmoreno/status/1573760715822956545,2022-09-24 19:46:08+00:00,"@Nemorensis2 @AponteArmida @penileyramirez @Reforma @muralcom @elnorte Ayotzinapa ha sido usado como botín político desde el principio. Es quizá el conjunto de errores, mentiras e imprecisiones más grande en la historia moderna de México.

Muchos están implicados, incluidas algunas vacas sagradas del actual gobierno.",1,0,0,"{'longitude': -99.324375, 'latitude': 19.232228}","{'fullName': 'Álvaro Obregón, Distrito Federal', 'name': 'Álvaro Obregón', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['ayotzinapo', 'usar', 'botin', 'politico', 'principio', 'conjunto', 'error', 'mentira', 'imprecision', 'grande', 'historia', 'moderna', 'mexico', 'implicado', 'incluir', 'vaca', 'sagrado', 'actual', 'gobierno']",moderna
1573740163754328064,https://twitter.com/ozsanmar04/status/1573740163754328064,2022-09-24 18:24:28+00:00,"@ConceptoArq Pues es que … es la búsqueda del sugardadismo, la que no enseña, pues no vende … es como le dire a usted mi Arqui … has de cuenta que es como la “prostitucion moderna digital” … no todas claramente pero .. si algunas andan en búsqueda de quien las haga buchonas o luchonas.",4,0,1,"{'longitude': -99.315748, 'latitude': 19.087511}","{'fullName': 'Tlalpan, Distrito Federal', 'name': 'Tlalpan', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['busqueda', 'sugardadismo', 'ensenar', 'vender', 'dire', 'aqui', 'prostitucion', 'moderna', 'digital', 'claramente', 'andar', 'busqueda', 'hacer', 'buscona', 'lucha']",moderna
1573014245012283397,https://twitter.com/C_Dominguez_R/status/1573014245012283397,2022-09-22 18:19:55+00:00,"“Su gobierno ya es el más violento en la historia moderna de México”: Jorge Ramos le refuta a López Obrador sobre la crisis de inseguridad que vive el país.

Mis respetos para @jorgeramosnews por encarar así a @lopezobrador_ aunque éste insista en maquillar la realidad. https://t.co/9mw13yX42P",2,0,0,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['gobierno', 'violento', 'historia', 'moderna', 'mexico', 'jorge', 'ramo', 'refuto', 'lopez', 'obrador', 'crisis', 'inseguridad', 'vivir', 'pais', 'respeto', 'encarar', 'insista', 'maquillar', 'realidad']",moderna
1572414063652802562,https://twitter.com/mikaelaalalsa/status/1572414063652802562,2022-09-21 02:35:01+00:00,@MarioSotomayorG @Claudiashein @petrogustavo La palabra terrorismo viene de la rev francesa y hace referencia al no respeto de la oposición. La guerrilla col. M19 fue el resultado del mal gobierno “de Misael Pastrana”que como desenlace generó una constitución moderna y progresista. Hay que leer para opinar de política int.,2,0,1,"{'longitude': -99.2058092, 'latitude': 19.2970107}","{'fullName': 'Coyoacán, Distrito Federal', 'name': 'Coyoacán', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['palabra', 'terrorismo', 'venir', 'rev', 'frances', 'referencia', 'respeto', 'oposicion', 'guerrilla', 'col', 'resultado', 'gobierno', 'mikael', 'pastranaque', 'desenlace', 'genero', 'constitucion', 'moderna', 'progresista', 'leer', 'opinar', 'politica', 'int']",moderna
1571973760072437762,https://twitter.com/Prometeico/status/1571973760072437762,2022-09-19 21:25:24+00:00,"Yo soy moderna, pero no estoy trastornada. https://t.co/Q2zpEyMhuo",4,0,0,"{'longitude': -99.259495, 'latitude': 19.3863707}","{'fullName': 'Miguel Hidalgo, Distrito Federal', 'name': 'Miguel Hidalgo', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['moderna', 'trastornadamente']",moderna
1571924989062053888,https://twitter.com/AR_Linares/status/1571924989062053888,2022-09-19 18:11:37+00:00,"Esta #CDMX es tan moderna, que organiza #SimulacroNacional2022 en tercera dimensión.",0,0,0,"{'longitude': -99.180678, 'latitude': 19.444937}","{'fullName': 'Gustavo A. Madero, Distrito Federal', 'name': 'Gustavo A. Madero', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['moderna', 'organizar', 'simulacro', 'nacional', 'dimension']",moderna
1571627223316312064,https://twitter.com/johnnycarmona/status/1571627223316312064,2022-09-18 22:28:24+00:00,@manumanito Que moderna!! https://t.co/po9McsIVHN,2,0,0,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,['moderna'],moderna
1571370853492826116,https://twitter.com/ExaArq/status/1571370853492826116,2022-09-18 05:29:40+00:00,"Que la extraña casa del hermano de Barragán, que un palacio neocolonial al estilo #CDMX en el occidente de Mexico, que la primer casa moderna de Guadalajara, que la escuela tapatía, el chismecito barraganesco y más.

…Sí señor, aquí se los mostrare fresco y recién horneado. 👀 https://t.co/tNATpGoY9a",19,0,0,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['extranar', 'casa', 'hermano', 'barracon', 'palacio', 'neocolonial', 'estilo', 'occidente', 'mexico', 'casa', 'moderna', 'guadalajara', 'escuela', 'apatia', 'chistecito', 'barraganesco', 'senor', 'mostrare', 'fresco', 'recien', 'horneado']",moderna
1570963961964802049,https://twitter.com/Ixoye_Isra/status/1570963961964802049,2022-09-17 02:32:50+00:00,"TENEMOS AL MEJOR PRESIDENTE DE LA HISTORIA MODERNA DE MX, SOPORTEEEEN. https://t.co/wJbsFqwko3",0,0,0,"{'longitude': -99.2058092, 'latitude': 19.2970107}","{'fullName': 'Coyoacán, Distrito Federal', 'name': 'Coyoacán', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['presidente', 'historia', 'moderna', 'soporten']",moderna
1570814358795743233,https://twitter.com/davidmontesflor/status/1570814358795743233,2022-09-16 16:38:22+00:00,"@rosaicela_ @arturomedinap @lopezobrador_ La licenciada @rosaicela_
es el vivo ejemplo del  empoderamiento de la mujer mexicana moderna,  en hora buena y felicidades por tantos logros",0,0,0,"{'longitude': -99.137171, 'latitude': 19.375769}","{'fullName': 'Iztacalco, Distrito Federal', 'name': 'Iztacalco', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['licenciada', 'vivo', 'empoderamiento', 'mujer', 'mexicano', 'moderna', 'hora', 'felicidad', 'logro']",moderna
