id,url,date,content,likeCount,retweetCount,replyCount,coordinates,place,latitud,longitud,radio,tweet_tokenizado,palabra_clave
1.57316E+18,https://twitter.com/Xulalarte/status/1573158785077870592,2022-09-23 03:54:16+00:00,"Constantino es un hermoso gatito 😸de 2 meses de edad
Desparasitado, vacunado y pronto estará esterilizado para ir en busca de un hogar responsable.
Deseas adoptarlo? Ponte en contacto con nosotros 😍
Aplicamos protocolo de adopción, carta compromiso y visitas. https://t.co/tqDdor0yj7",1,0,0,"{'longitude': -99.140238, 'latitude': 19.2846922}","{'fullName': 'Iztapalapa, Distrito Federal', 'name': 'Iztapalapa', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['constantino', 'hermoso', 'gatito', 'mes', 'edad', 'desparasitar', 'vacuna', 'esterilizado', 'buscar', 'hogar', 'responsable', 'deseas', 'adoptar', 'ponte', 'contacto', 'aplicamo', 'protocolo', 'adopcion', 'carta', 'compromiso', 'visita']",vacunado
1.57259E+18,https://twitter.com/glaporta4/status/1572592046778601472,2022-09-21 14:22:15+00:00,"@Alvaroomega19 @Maajeru8 @Farmaenfurecida Pero es que nos decían que era para proteger a los demás y resulta que contagias estando “vacunado” y además te contagias. Eso no pasa con ninguna vacuna, es la definición de vacuna. Que te inmuniza 100% como la de, por ejemplo, la viruela. Entonces? Pues no es una vacuna…",0,0,1,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['decir', 'proteger', 'resultar', 'contagia', 'vacuna', 'contagia', 'pasar', 'vacuna', 'definicion', 'vacuna', 'inmunizar', 'viruela', 'vacuna']",vacunado
1.57248E+18,https://twitter.com/gloriabernardi/status/1572482848279379968,2022-09-21 07:08:21+00:00,"manos darle una vida de amor por favor apoyarlo, estoy dispuesta a darlo esterilizado y vacunado está en la col.campestre Guadalupana en calle 30 número 52 pedí apoyo a Tintín y llame a Propaem pero desgraciadamente estábamos en fiestas patrias y me dicen que vuelva a llamar de https://t.co/xDBWOLex2f",10,6,2,"{'longitude': -99.2481811, 'latitude': 19.498594}","{'fullName': 'Tlalnepantla de Baz, México', 'name': 'Tlalnepantla de Baz', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['mano', 'dar', 'vida', 'amor', 'favor', 'apoyar', 'dispuesto', 'dar', 'esterilizado', 'vacuna', 'colcampestre', 'guadalupana', 'calle', 'numero', 'pedir', 'apoyo', 'tintin', 'llame', 'propagar', 'desgraciadamente', 'fiesta', 'patria', 'volver', 'llamar']",vacunado
1.571E+18,https://twitter.com/AdrianaCalleja/status/1570998258226593792,2022-09-17 04:49:07+00:00,"@Emonroymex Porque voy a mi clínica familiar, se que mientes, a mi hija me la han vacunado de todo, mi hermana también es tratada ahí y le surten sus medicamentos… y porque no hablas de esta basura 👇🏻👇🏻👇🏻 https://t.co/miqva0DXDj",0,0,1,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['clinica', 'familiar', 'miente', 'hija', 'vacuna', 'hermana', 'tratada', 'surten', 'medicamento', 'hablas', 'basura']",vacunado
1.57047E+18,https://twitter.com/ozsanmar04/status/1570466487508271104,2022-09-15 17:36:03+00:00,"Algo es cierto .. los contagios aún existen y la verdad es que si, he visto mucha gente ya sin usarlo.. que ya no es obligatorio, pues ya no pero … por amor a ti y a los demás SÍGUELO USANDO!!! No sabes si te cruzas con alguien que ni vacunado está .. se responsable!!! https://t.co/luid7FiYDj",1,0,0,"{'longitude': -99.315748, 'latitude': 19.087511}","{'fullName': 'Tlalpan, Distrito Federal', 'name': 'Tlalpan', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['contagio', 'ver', 'gente', 'usar', 'obligatorio', 'amor', 'siguelo', 'usar', 'cruzo', 'alguien', 'vacuna', 'responsable']",vacunado
1.56982E+18,https://twitter.com/AraizCorre/status/1569823765399207938,2022-09-13 23:02:06+00:00,"Es negativo a sida y leucemia, pronto estatá vacunado, esterilizado y listo para adoptarse ❤️‍🩹. Todavía no proceso que la gente aviente animales al Periférico 😑, este nene es puro amor 🥰 https://t.co/UP0Hf2RRQk",8,0,1,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['negativo', 'sida', 'leucemio', 'estar', 'vacuna', 'esterilizado', 'listo', 'adoptar', 'proceso', 'gente', 'aviente', 'animal', 'periferico', 'nene', 'puro', 'amor']",vacunado
1.56978E+18,https://twitter.com/aiturbejastrow/status/1569782261700251651,2022-09-13 20:17:10+00:00,"En mi negocio y en mi casa, cualquier persona que guste entrar puede o no usar cubrebocas; puede o no usar gel antibacterial; esté o no vacunado.

La jerga con alcohol, esa sí nunca la puse.

Basta de pánico, por piedad.",2,0,0,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['negocio', 'casa', 'persona', 'gustar', 'entrar', 'cubrebocas', 'gel', 'antibacterial', 'vacuna', 'jerga', 'alcohol', 'puse', 'bastar', 'panico', 'piedad']",vacunado
1.56908E+18,https://twitter.com/monipozz/status/1569075697594793985,2022-09-11 21:29:32+00:00,@Zeap61343586 @GreggorHanzo Supervendido! Claro que esta vacunado y queriendo convencer a todos,4,1,0,"{'longitude': -99.259495, 'latitude': 19.3863707}","{'fullName': 'Miguel Hidalgo, Distrito Federal', 'name': 'Miguel Hidalgo', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['supervendido', 'vacuna', 'querer', 'convencer']",vacunado
1.56827E+18,https://twitter.com/TioDaveS/status/1568271390129766404,2022-09-09 16:13:31+00:00,"@ArturoErdely @AMontemayor85 @YouTube Tengo un tío de 105; le dio COVID y ni se inmutó (vacunado) y está perfectamente bien, lúcido y camina; mi madre q es su hermana menor tiene 93 casi y también perfecta; buen fin",1,0,1,"{'longitude': -99.324375, 'latitude': 19.232228}","{'fullName': 'Álvaro Obregón, Distrito Federal', 'name': 'Álvaro Obregón', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['tio', 'covid', 'inmutar', 'vacuna', 'perfectamente', 'lucido', 'camina', 'madre', 'hermana', 'menor', 'perfecto']",vacunado
1.56773E+18,https://twitter.com/brasstlk/status/1567725027260338176,2022-09-08 04:02:28+00:00,"@jenarovillamil Joven, eso solo existe en la mente de los gobernantes cubanos, no tienen capacidad de producirla en grandes cantidades, ni la tecnología ni la los recursos para probarla. Si hubiera la vacuna, a estás alturas el pueblo cubano estaría vacunado.",2,0,0,"{'longitude': -99.6470277, 'latitude': 19.2156239}","{'fullName': 'Metepec, México', 'name': 'Metepec', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['joven', 'mente', 'gobernante', 'cubano', 'capacidad', 'producir', 'cantidad', 'tecnologia', 'recurso', 'probar', 'vacuna', 'altura', 'pueblo', 'cubano', 'vacuna']",vacunado
