id,url,date,content,likeCount,retweetCount,replyCount,coordinates,place,latitud,longitud,radio,tweet_tokenizado,palabra_clave
1.57264E+18,https://twitter.com/lalortizz/status/1572638065335861250,2022-09-21 17:25:07+00:00,@DrParvovirusB19 Me vacunaron en el issste 🥰 pero en toluca andan vacunando en varios lados,2,0,0,"{'longitude': -99.7825792, 'latitude': 19.0763934}","{'fullName': 'Toluca, México', 'name': 'Toluca', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['vacuna', 'iste', 'tocar', 'andar', 'vacunando', 'lado']",vacunaron
1.57053E+18,https://twitter.com/TROLELLO/status/1570526251462590464,2022-09-15 21:33:31+00:00,@madrigal_kika @SSaludCdMx Esta semana los VACUNARON. https://t.co/5xGkXYYydH,0,0,1,"{'longitude': -99.128294, 'latitude': 19.4043522}","{'fullName': 'Venustiano Carranza, Distrito Federal', 'name': 'Venustiano Carranza', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['semana', 'vacuna']",vacunaron
1.56804E+18,https://twitter.com/IscoReyes24/status/1568036084927369217,2022-09-09 00:38:30+00:00,@d_roja87 @ulisesharada Lo Vacunaron.,0,0,1,"{'longitude': -99.259495, 'latitude': 19.3863707}","{'fullName': 'Miguel Hidalgo, Distrito Federal', 'name': 'Miguel Hidalgo', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,['vacuna'],vacunaron
1.56735E+18,https://twitter.com/Luissrreee/status/1567349163150434305,2022-09-07 03:08:55+00:00,"1T cómo se esperaba, replegados aguantando el cero. Todo iba tan bien y en un simple descuido nos vacunaron. Ha sido un buen planteamiento contando el rival, lo nublaste por 43', pero creo que ya es momento de soltar a Murillo y Vitinho. Si vamos a morir, que sea atacando.",48,1,6,"{'longitude': -99.2058092, 'latitude': 19.2970107}","{'fullName': 'Coyoacán, Distrito Federal', 'name': 'Coyoacán', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['esperar', 'replegao', 'aguantando', 'cero', 'ir', 'simple', 'descuido', 'vacuna', 'planteamiento', 'contar', 'rival', 'hablaste', 'soltar', 'murmillo', 'vikingo', 'morir', 'atacar']",vacunaron
1.56616E+18,https://twitter.com/hecid/status/1566159833006473219,2022-09-03 20:22:56+00:00,@JegErPippo @_Zinguiriringui @ferfloresphi @doctormacias A lo mejor le dice que es así porque lo vacunaron de niño...,0,0,1,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['vacuna', 'nino']",vacunaron
1.56514E+18,https://twitter.com/RS_Vargas/status/1565143654720802818,2022-09-01 01:05:00+00:00,Vacunaron al four-teen... #CopaLibertadores,1,0,0,"{'longitude': -99.315748, 'latitude': 19.087511}","{'fullName': 'Tlalpan, Distrito Federal', 'name': 'Tlalpan', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['vacuna', 'flirteen', 'copa', 'libertador']",vacunaron
1.56108E+18,https://twitter.com/alberthall78/status/1561082816812703747,2022-08-20 20:08:41+00:00,⚾️ nos vacunaron otra 5-2 Go Yankees https://t.co/mCb1b8GdYJ,0,0,0,"{'longitude': -99.315748, 'latitude': 19.087511}","{'fullName': 'Tlalpan, Distrito Federal', 'name': 'Tlalpan', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['vacuna', 'go', 'yankees']",vacunaron
1.55885E+18,https://twitter.com/keniajh2/status/1558845821151596544,2022-08-14 15:59:40+00:00,"• 📍 1era dosis en la Ciudad de México a los niños de 7 años cumplidos (nacidos antes del 19 de agosto de 2015). 

• 📍 1era  dosis y Rezagados ADULTOS
18 y más con CANSINO 
      📍 3era dosis: Adultos de 18 años y  más que se vacunaron hace más de 4 meses",2,2,1,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['dosis', 'ciudad', 'mexico', 'nino', 'ano', 'cumplido', 'nacido', 'agosto', 'dosis', 'rezagados', 'adulto', 'cansino', 'dosis', 'adulto', 'ano', 'vacuna', 'mes']",vacunaron
1.55847E+18,https://twitter.com/TROLELLO/status/1558466291954073605,2022-08-13 14:51:33+00:00,@Carolin91005063 @SSaludCdMx Ya los vacunaron. Nunca llaman debe estar al pendiente de los próximos comunicados.,0,0,0,"{'longitude': -99.180678, 'latitude': 19.444937}","{'fullName': 'Gustavo A. Madero, Distrito Federal', 'name': 'Gustavo A. Madero', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['vacuna', 'llamar', 'pendiente', 'comunicado']",vacunaron
1.55738E+18,https://twitter.com/arisrojas/status/1557376402885935106,2022-08-10 14:40:43+00:00,@JTrianaT @lopezobrador_ Neta pobre chava... a ver qué opina su hijo cuando esté más grande y tenga juicio.. si ese niño que lo vacunaron sin formar como cualquier otro ..,0,0,0,"{'longitude': -99.128294, 'latitude': 19.4043522}","{'fullName': 'Venustiano Carranza, Distrito Federal', 'name': 'Venustiano Carranza', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['neta', 'pobre', 'chava', 'opinar', 'hijo', 'grande', 'juicio', 'nino', 'vacuna', 'formar']",vacunaron
