id,url,date,content,likeCount,retweetCount,replyCount,coordinates,place,latitud,longitud,radio,tweet_tokenizado,palabra_clave
1.5737E+18,https://twitter.com/350cid/status/1573701736325419010,2022-09-24 15:51:46+00:00,"@NataliaVitela Solo intentas ridiculizar, pero en un país democrático no puedes obligar a la gente a vacunarse, se muestra que el Gobierno estaba preparado para esa contingencia. La gente pensante detecta las intenciones del @Reforma, tu cobras por consigna. Lástima https://t.co/NljUC2FMC7",0,0,0,"{'longitude': -99.259495, 'latitude': 19.3863707}","{'fullName': 'Miguel Hidalgo, Distrito Federal', 'name': 'Miguel Hidalgo', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['ridiculizar', 'pais', 'democratico', 'poder', 'obligar', 'gente', 'vacuna', 'mostrar', 'gobierno', 'preparado', 'contingencia', 'gente', 'pensante', 'detectar', 'intencion', 'cobras', 'consignar', 'lastimo']",vacunarse
1.57198E+18,https://twitter.com/varamburucano/status/1571978175147835392,2022-09-19 21:42:57+00:00,Y luego es la gente que no quería hacer cola no de una hora para vacunarse gratuitamente contra el Covid... https://t.co/735iiNyYxp,43,7,0,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['gente', 'querer', 'cola', 'hora', 'vacuna', 'gratuitamente', 'covid']",vacunarse
1.57186E+18,https://twitter.com/patito1775/status/1571856502499192832,2022-09-19 13:39:28+00:00,"Lunes con L de "" Lo importante es vacunarse"" en Centro de Salud T-III México España https://t.co/khd7HOrT28",0,0,0,"{'longitude': -99.18174952, 'latitude': 19.44586502}","{'fullName': 'Miguel Hidalgo, Distrito Federal', 'name': 'Miguel Hidalgo', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['lunes', 'importante', 'vacuna', 'centro', 'salud', 'mexico', 'espana']",vacunarse
1.57063E+18,https://twitter.com/TROLELLO/status/1570626954768031746,2022-09-16 04:13:41+00:00,@AnashelyM @SSaludCdMx Lamentablemente no. Tendrán que vacunarse con los de 5 años. https://t.co/ZFFfjZVnK5,0,0,0,"{'longitude': -99.180678, 'latitude': 19.444937}","{'fullName': 'Gustavo A. Madero, Distrito Federal', 'name': 'Gustavo A. Madero', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['lamentablemente', 'vacuna', 'ano']",vacunarse
1.57009E+18,https://twitter.com/AnniaGomezNL/status/1570092423321194502,2022-09-14 16:49:39+00:00,"Cárcel a funcionarios abusivos. ❌

La llegada de las vacunas contra el COVID-19 ocasionó que funcionarios públicos utilizaran su puesto para brincarse la fila y poder vacunarse antes de tiempo con sus familias incluidas.
Ante este abuso propuse cárcel inmediata… https://t.co/OuU0fijboY",11,4,1,"{'longitude': -99.128294, 'latitude': 19.4043522}","{'fullName': 'Venustiano Carranza, Distrito Federal', 'name': 'Venustiano Carranza', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['carcel', 'funcionario', 'abusivo', 'llegada', 'vacuna', 'covid', 'ocasiono', 'funcionario', 'publico', 'utilizaran', 'puesto', 'brindar', 'fila', 'vacuna', 'familia', 'incluir', 'abuso', 'propuse', 'carcel', 'inmediato']",vacunarse
1.56861E+18,https://twitter.com/rikymoreno/status/1568607791505612801,2022-09-10 14:30:15+00:00,Que pinche maña de no vacunarse. https://t.co/UcBmrSX5Kh,275,19,11,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['pinche', 'mana', 'vacuna']",vacunarse
1.56548E+18,https://twitter.com/angel_mg44/status/1565483954223792128,2022-09-01 23:37:14+00:00,"@CentralEq @LillyTellez @HLGatell ¿Y de que lo va acusar?, de que millones en su momento se negaran a usar cubrebocas, mantener la sana distancia, no salir a menos que fuera necesario y de que no vacunarse por creer que la vacuna era para insertarles un chip, hablamos de adultos irresponsables no de niños.",0,0,0,"{'longitude': -99.128294, 'latitude': 19.4043522}","{'fullName': 'Venustiano Carranza, Distrito Federal', 'name': 'Venustiano Carranza', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['acusar', 'millon', 'negaran', 'cubrebocas', 'mantener', 'sano', 'distancia', 'salir', 'necesario', 'vacuna', 'creer', 'vacuna', 'insertar', 'chip', 'hablar', 'adulto', 'irresponsable', 'nino']",vacunarse
1.561E+18,https://twitter.com/vastatrix/status/1561003794019880960,2022-08-20 14:54:41+00:00,Ah esos tontitos antivaxter no se preocupe.por el.mokeypox y la gripe del tomate o el covid pero eso si tengan mucho mucho miedo por el virus de la Polio no quisieron vacunarse y de nuevo anda circulando en fin @leoncsm @SovietCat72 https://t.co/CCa7PL5aHe,1,0,1,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['ah', 'tontito', 'antivaxter', 'preocupemo', 'elmokeypox', 'gripe', 'tomate', 'covid', 'miedo', 'virus', 'polio', 'querer', 'vacuna', 'andar', 'circular']",vacunarse
1.55966E+18,https://twitter.com/ColinKika/status/1559659025662414849,2022-08-16 21:51:03+00:00,A mi niña le toco vacunarse hoy 🙌🏻 https://t.co/RiTEP3IUkg,2,0,0,"{'longitude': -99.57852157042504, 'latitude': 19.257335991267738}","{'fullName': 'Instituto Tecnológico de Toluca', 'name': 'Instituto Tecnológico de Toluca', 'type': 'poi', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['nina', 'tocar', 'vacuna']",vacunarse
1.55896E+18,https://twitter.com/TROLELLO/status/1558957709550043138,2022-08-14 23:24:16+00:00,"@f_neyc @SSaludCdMx El segundo Refuerzo o cuarta dosis para la mayoría solo aplica para personas con más de 60 años.

Y de 18 a 59 años, demostrando que tienen una enfermedad cormobil.

Si pertenece a uno de estos grupos, puede acudir a vacunarse.",1,0,0,"{'longitude': -99.324375, 'latitude': 19.232228}","{'fullName': 'Álvaro Obregón, Distrito Federal', 'name': 'Álvaro Obregón', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['refuerzo', 'cuarto', 'dosis', 'mayoria', 'aplicar', 'persona', 'ano', 'ano', 'demostrar', 'enfermedad', 'cormobil', 'pertenecer', 'grupo', 'acudir', 'vacuna']",vacunarse
1.5578E+18,https://twitter.com/Mefisto_falico/status/1557799785444376576,2022-08-11 18:43:06+00:00,"Mis padres y mi tía acaban de pasar a vacunarse con su cuarta dosis.

El crédito por la insistencia —y estar al pendiente de que lo hicieran— es en su mayor parte de 'Mionvre'.

Gracias por cuidar NO solo de mi, sino de mis seres queridos TAMBIÉN, @dejaquebrame

Te amito muchote. https://t.co/H1CQFGY8Vm",0,0,0,"{'longitude': -99.11593908493869, 'latitude': 19.39909692145837}","{'fullName': 'Residencial Coyuya', 'name': 'Residencial Coyuya', 'type': 'poi', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['padre', 'tia', 'acabar', 'pasar', 'vacuna', 'cuarto', 'dosis', 'credito', 'insistencia', 'pendiente', 'hacer', 'mionvre', 'gracias', 'cuidar', 'ser', 'querido', 'amito', 'machote']",vacunarse
1.55758E+18,https://twitter.com/JulietaRivo/status/1557577404087943168,2022-08-11 03:59:26+00:00,"@doctormacias Una persona que conozco no quiere vacunarse a pesar de ser adulto mayor, mayor y dice que las personas más informadas como ella, saben que no deben vacunarse. 😖🙄🙄🙄🤦‍♀️",1,0,0,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['persona', 'conocer', 'vacuna', 'adulto', 'persona', 'informada', 'vacuna']",vacunarse
1.55674E+18,https://twitter.com/TROLELLO/status/1556740935941296128,2022-08-08 20:35:36+00:00,"@Raduvlad80 @HuertaVertiz @SSaludCdMx Y ahora ahí están los problemas. La gente quiere vacunarse, cuarta dosis y el gobierno no puede por qué no tiene vacunas.",0,0,0,"{'longitude': -99.259495, 'latitude': 19.3863707}","{'fullName': 'Miguel Hidalgo, Distrito Federal', 'name': 'Miguel Hidalgo', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['problema', 'gente', 'vacuna', 'cuarto', 'dosis', 'gobierno', 'vacuna']",vacunarse
1.55153E+18,https://twitter.com/Mefisto_falico/status/1551529644524032000,2022-07-25 11:27:47+00:00,"@NoAguacatito Si los go†æs vamos a ser los primeros en recibir la vacuna...

...y læs HETERÆS neciæs son læs que quedarán con cicatrices —de por vida— por no vacunarse, entonces... https://t.co/RFVPw3u1cK",0,0,0,"{'longitude': -99.11593908493869, 'latitude': 19.39909692145837}","{'fullName': 'Residencial Coyuya', 'name': 'Residencial Coyuya', 'type': 'poi', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['go', 'ser', 'recibir', 'vacuna', 'hetero', 'necios', 'quedar', 'cicatriz', 'vida', 'vacuna']",vacunarse
1.5509E+18,https://twitter.com/TROLELLO/status/1550901616131334145,2022-07-23 17:52:14+00:00,"@heidy22647583 @Isabel50737178 @roslemusmartin Si y no 

Si por qué si hay 

El problema es que son pocas para la cantidad de personas que han acudido a vacunarse. Ya hay lugares donde se encuentra agotada.",0,0,0,"{'longitude': -99.324375, 'latitude': 19.232228}","{'fullName': 'Álvaro Obregón, Distrito Federal', 'name': 'Álvaro Obregón', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['problema', 'cantidad', 'persona', 'acudir', 'vacuna', 'lugar', 'agotado']",vacunarse
1.5506E+18,https://twitter.com/TacticEvil/status/1550601659650293765,2022-07-22 22:00:19+00:00,"@YosoyArturowsky @BicireporteraDF Creo que tengo pésima capacidad lectora, leo el tuit que comenta la compa Reportera para ver qué onda con info. Y en ningún momento pide certificados falsos, infringir normas sanitarias o algo de conspiranaitor al no vacunarse. Me encantaría que me ilustres ya que no sé leer 🙃",1,0,1,"{'longitude': -99.1600234, 'latitude': 19.152878}","{'fullName': 'Xochimilco, Distrito Federal', 'name': 'Xochimilco', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['pesimo', 'capacidad', 'lector', 'leo', 'tuit', 'comentar', 'compa', 'reportera', 'onda', 'info', 'pedir', 'certificado', 'falso', 'infringir', 'norma', 'sanitario', 'conspiranaitor', 'vacuna', 'encantaria', 'ilustre', 'leer']",vacunarse
1.55059E+18,https://twitter.com/FredOleaPi/status/1550593353489985536,2022-07-22 21:27:18+00:00,@krakentattooguy @salvatoresoftic Aprovechen para vacunarse 😂,3,0,0,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.30991733,-99.12243737,31.28km,"['aprovechen', 'vacuna']",vacunarse
