id,url,date,content,likeCount,retweetCount,replyCount,coordinates,place,latitud,longitud,radio,tweet_tokenizado
1573535292434292737,https://twitter.com/Sil_Glez0311/status/1573535292434292737,2022-09-24 04:50:23+00:00,Cubrebocas obligatorio: ¿en qué estados fue levantada la medida contra COVID-19? - Uno TV https://t.co/0bTywk0uS6 Ignorancia d @lopezobrador_ No es enfermedad pero mata.Faltan vacunas pediátricas Pfizer.López compro vacunas cubanas sin estudios d 3ª face p/adultos menos p/niños,0,0,0,"{'longitude': -99.118665, 'latitude': 19.484399}","{'fullName': 'Ecatepec de Morelos, México', 'name': 'Ecatepec de Morelos', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['cubreboca', 'obligatorio', 'levantado', 'medida', 'covid', 'tv', 'ignorancio', 'enfermedad', 'mato', 'faltar', 'vacuna', 'pediatrica', 'pfizer', 'lopez', 'compro', 'vacuna', 'cubano', 'estudio', 'face', 'adulto', 'menos', 'nino']"
1573507899120394242,https://twitter.com/Sil_Glez0311/status/1573507899120394242,2022-09-24 03:01:32+00:00,"Vacunación COVID-19 en CDMX para niños de 5 años inicia el 26 de septiembre de 2022 - Uno TV https://t.co/OXiwgrOMHN Deben ver sean vacunas pediátricas Pfizer,se compramos 8millones,la población d 5a11 años es 23.5 millones,lopez dijo q compraron vacuna cubana sin aval d la @OMS",0,0,0,"{'longitude': -99.118665, 'latitude': 19.484399}","{'fullName': 'Ecatepec de Morelos, México', 'name': 'Ecatepec de Morelos', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['vacunacion', 'covid', 'como', 'nino', 'ano', 'iniciar', 'septiembre', 'tv', 'deber', 'ver', 'vacuna', 'pediatrica', 'pfizer', 'comprir', 'millon', 'poblacion', 'ano', 'millon', 'lopez', 'decir', 'comprar', 'vacuna', 'cubano', 'aval']"
1572624955199877122,https://twitter.com/lalortizz/status/1572624955199877122,2022-09-21 16:33:01+00:00,Ya me volvió a explotar la tacha de la Pfizer 😭,5,0,4,"{'longitude': -99.7825792, 'latitude': 19.0763934}","{'fullName': 'Toluca, México', 'name': 'Toluca', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['volvio', 'explotar', 'tacha', 'pfizer']"
1570235168656609281,https://twitter.com/helimaverick/status/1570235168656609281,2022-09-15 02:16:52+00:00,"Hoy tocó un refuerzo más de vacuna pfizer para personal de salud. 

La pandemia continua y los contagios de Covid-19 siguen activos. 

Por favor usa cubrebocas 😷 https://t.co/6YaTAB3qQj",12,0,0,"{'longitude': -99.7825792, 'latitude': 19.0763934}","{'fullName': 'Toluca, México', 'name': 'Toluca', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['hoy', 'tocar', 'refuerzo', 'vacuna', 'pfizer', 'personal', 'salud', 'pandemia', 'continuo', 'contagio', 'covid', 'seguir', 'activo', 'favor', 'usar', 'cubreboca']"
1569169890329722881,https://twitter.com/huachodiazmena/status/1569169890329722881,2022-09-12 03:43:50+00:00,"Recibimos un  vuelo de la FAM con 57,600 dosis de Pfizer pediátrica que se utilizarán para 1a. dosis en menores de 5 a 11 años;  también recibimos 50,400 dosis de Cansino para refuerzo en mayores de 18 años.

En breve publicaremos fechas y sedes

#GobiernoDeMéxico
#Bienestar. https://t.co/DfJexNWIKF",11,5,0,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['recibir', 'vuelo', 'fam', 'dosis', 'pfizer', 'pediatrico', 'utilizar', 'dosis', 'menor', 'ano', 'recibir', 'dosis', 'cansino', 'refuerzo', 'mayor', 'ano', 'breve', 'publicarer', 'fecha', 'sed', 'gobierno', 'mexico', 'bienestar']"
1568216072033116166,https://twitter.com/MaraJac66732547/status/1568216072033116166,2022-09-09 12:33:42+00:00,@GobiernoMX a qué hora llegan más vacunas Pfizer para niños hoy?,0,0,0,"{'longitude': -99.324375, 'latitude': 19.232228}","{'fullName': 'Álvaro Obregón, Distrito Federal', 'name': 'Álvaro Obregón', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['hora', 'llegar', 'vacuna', 'pfizer', 'nino', 'hoy']"
1568080224545284097,https://twitter.com/linaorde/status/1568080224545284097,2022-09-09 03:33:53+00:00,"@juralcast 1. No pasa nada.
2. No hay pfizer
3. Preferible Astrazeneca",0,0,1,"{'longitude': -99.128294, 'latitude': 19.4043522}","{'fullName': 'Venustiano Carranza, Distrito Federal', 'name': 'Venustiano Carranza', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['pasar', 'pfizer', 'preferible', 'astrazeneca']"
1567374544783941632,https://twitter.com/MaraEug46415709/status/1567374544783941632,2022-09-07 04:49:46+00:00,"@lopezdoriga 😡😡😡😡😡😡😡😡😡😡😡😡😡😡 los niños mexicanos se merecen la de Pfizer, no la pinchurrienta vacuna cubana que no ha sido ni probada ni aprobada por ningún organismo internacional",0,0,0,"{'longitude': -99.315748, 'latitude': 19.087511}","{'fullName': 'Tlalpan, Distrito Federal', 'name': 'Tlalpan', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['nino', 'mexicano', 'merecer', 'pfizer', 'pinchurrientar', 'vacuna', 'cubana', 'ser', 'probar', 'aprobado', 'ningun', 'organismo', 'internacional']"
1567132360843329536,https://twitter.com/adrianaesthela/status/1567132360843329536,2022-09-06 12:47:25+00:00,"#ConferenciaPresidente
Covax adelantó para el 8/Sept el primer envío de vacunas pediátricas de Pfizer, que consiste en 2 millones 371 mil 200 dosis, anunció @HLGatell

En total, habrá más de 15 millones de dosis para infancias, de las que 9 millones son de la cubana Abdala",1,0,0,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['conferencia', 'presidente', 'cova', 'adelanto', 'sept', 'primero', 'envio', 'vacuna', 'pediatrica', 'pfizer', 'consistir', 'millon', 'mil', 'dosis', 'anuncio', 'total', 'millon', 'dosis', 'infancia', 'millon', 'cubano', 'abrala']"
1564802237469233152,https://twitter.com/LaChispaMX/status/1564802237469233152,2022-08-31 02:28:20+00:00,"💥 #LaChispaMx |   💉💉💉

#Vacunasanticovid #Pfizer pediátricas llegatrán en septiembre a #México
https://t.co/b8mSQzM1Fm",0,0,0,"{'longitude': -99.137171, 'latitude': 19.375769}","{'fullName': 'Iztacalco, Distrito Federal', 'name': 'Iztacalco', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['chispa', 'yo', 'vacunasanticovid', 'pfizer', 'pediatricas', 'llegar', 'septiembre', 'mexico']"
