id,url,date,content,likeCount,retweetCount,replyCount,coordinates,place,latitud,longitud,radio,tweet_tokenizado
1571868603468906497,https://twitter.com/ContinuamosMX/status/1571868603468906497,2022-09-19 14:27:33+00:00,"#Salud LISTA APLICACIÓN DE SEGUNDA DOSIS DE VACUNA CONTRA #COVID19 PARA NIÑAS Y NIÑOS DE 9, 10 Y 11 AÑOS EN #EDOMEX https://t.co/uNwYA9CL2h #Vacunas #VacunacionCOVID",1,1,0,"{'longitude': -99.2481811, 'latitude': 19.498594}","{'fullName': 'Tlalnepantla de Baz, México', 'name': 'Tlalnepantla de Baz', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['salud', 'listo', 'aplicacion', 'segundo', 'dosis', 'vacuna', 'nina', 'nino', 'ano', 'vacuno', 'vacunacion']"
1570235890798329857,https://twitter.com/TROLELLO/status/1570235890798329857,2022-09-15 02:19:44+00:00,@ColoresSpano @SSaludCdMx Debe ser la Segunda. Menores de 18años no está autorizado aplicar una tercera dosis.,0,0,0,"{'longitude': -99.067766, 'latitude': 19.3668621}","{'fullName': 'Nezahualcóyotl, México', 'name': 'Nezahualcóyotl', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['deber', 'ser', 'segundo', 'menor', 'ano', 'autorizado', 'aplicar', 'tercero', 'dosis']"
1570080340143652864,https://twitter.com/pablohoney2007/status/1570080340143652864,2022-09-14 16:01:38+00:00,"@SSaludCdMx ¿Para adolescentes de 15 años que les falta la segunda dosis, dónde acuden?",0,0,1,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['adolescente', 'ano', 'faltar', 'segundo', 'dosis', 'donde', 'acudir']"
1570046128845996037,https://twitter.com/TROLELLO/status/1570046128845996037,2022-09-14 13:45:41+00:00,@ticushi @locatel_mx @GobCDMX @SSaludCdMx @LaAgenciaCDMX Es la misma donde lo diste de alta. El mismo procedimiento cuando te aplicaron a ti la segunda y tercera dosis.,0,0,1,"{'longitude': -99.180678, 'latitude': 19.444937}","{'fullName': 'Gustavo A. Madero, Distrito Federal', 'name': 'Gustavo A. Madero', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['mismo', 'diste', 'alto', 'mismo', 'procedimiento', 'aplicar', 'segundo', 'tercero', 'dosis']"
1569379703718580224,https://twitter.com/TROLELLO/status/1569379703718580224,2022-09-12 17:37:33+00:00,"@hilda_angie @SSaludCdMx Ya no es necesario registrarlo, solo bajar nuevamente la hoja de registro, para que anoten los datos de la segunda dosis.",0,0,0,"{'longitude': -99.259495, 'latitude': 19.3863707}","{'fullName': 'Miguel Hidalgo, Distrito Federal', 'name': 'Miguel Hidalgo', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['necesario', 'registrar', 'solo', 'bajar', 'nuevamente', 'hojo', 'registro', 'anotar', 'dato', 'segundo', 'dosis']"
1568378335809486848,https://twitter.com/anafvega/status/1568378335809486848,2022-09-09 23:18:28+00:00,"#YaLlegaLas3DeLas6 
La Jefa de Gobierno @Claudiashein  anunció que la próxima semana se reanudarán el Plan Nacional de vacunación para la segunda dosis de vacunas contra #Covid_19, para niños y niñas de 10 años. 
Reportero: @AdrianRadioFM de @MVSNoticias",28,8,1,"{'longitude': -99.259495, 'latitude': 19.3863707}","{'fullName': 'Miguel Hidalgo, Distrito Federal', 'name': 'Miguel Hidalgo', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['llegar', 'jefa', 'gobierno', 'anuncio', 'proximir', 'semana', 'reanudar', 'plan', 'nacional', 'vacunacion', 'segundo', 'dosis', 'vacuno', 'covid', 'nino', 'nina', 'ano', 'reportero']"
1567948078719680514,https://twitter.com/loloxdaq_in/status/1567948078719680514,2022-09-08 18:48:47+00:00,@SSaludCdMx ya está la segunda dosis de COVID para niños de 9 años?,0,0,0,"{'longitude': -99.2058092, 'latitude': 19.2970107}","{'fullName': 'Coyoacán, Distrito Federal', 'name': 'Coyoacán', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['segundo', 'dosis', 'covid', 'nino', 'ano']"
1567917270286090240,https://twitter.com/MaraJac66732547/status/1567917270286090240,2022-09-08 16:46:22+00:00,@EduardoClark buen día. Cuando segunda dosis para los de 9 años? Ya son 8 semanas de la primera 😞😡,0,0,0,"{'longitude': -99.324375, 'latitude': 19.232228}","{'fullName': 'Álvaro Obregón, Distrito Federal', 'name': 'Álvaro Obregón', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['buen', 'dia', 'segundo', 'dosis', 'ano', 'semana', 'primero']"
1567019912501104641,https://twitter.com/AngieGardamian/status/1567019912501104641,2022-09-06 05:20:35+00:00,@SSaludCdMx Cuando la segunda dosis para 8 y 7 años?,0,0,2,"{'longitude': -99.140238, 'latitude': 19.2846922}","{'fullName': 'Iztapalapa, Distrito Federal', 'name': 'Iztapalapa', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['segundo', 'dosis', 'ano']"
1566445437770399744,https://twitter.com/LunaSebastian12/status/1566445437770399744,2022-09-04 15:17:50+00:00,"@Solin882 @SSaludCdMx Para niños de 8 años la primera dosis fué hace como un mes. Estamos en espera de la segunda dosis, nos dijeron los enfermeros que en 21 días debía recibir la segunda dosis y nada. Seguimos esperando. No hay para cuando.",0,0,0,"{'longitude': -99.140238, 'latitude': 19.2846922}","{'fullName': 'Iztapalapa, Distrito Federal', 'name': 'Iztapalapa', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['nino', 'ano', 'primero', 'dosis', 'ser', 'hacer', 'mes', 'esperar', 'segundo', 'dosis', 'decir', 'enfermero', 'dia', 'debia', 'recibir', 'segundo', 'dosis', 'seguir', 'esperar']"
