id,url,date,content,likeCount,retweetCount,replyCount,coordinates,place,latitud,longitud,radio,tweet_tokenizado
1551656157361610754,https://twitter.com/iPincheVigil/status/1551656157361610754,2022-07-25 19:50:30+00:00,"@USEmbassyMEX  Hola.
Soy ciudadano mexicano con visa B1/B2 pero mi esquema de vacunación de COVID-19 fue con Sputnik V
Deseo ir de visita en un par de meses 
Puedo ingresar a EEUU?",0,0,0,"{'longitude': -99.140238, 'latitude': 19.2846922}","{'fullName': 'Iztapalapa, Distrito Federal', 'name': 'Iztapalapa', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['hola', 'ciudadano', 'mexicano', 'visa', 'esquema', 'vacunacion', 'covid', 'sputnik', 'desear', 'ir', 'visita', 'par', 'mes', 'poder', 'ingresar', 'eeuu']"
1539680441032114176,https://twitter.com/Heraldos2/status/1539680441032114176,2022-06-22 18:43:17+00:00,"No es justo truncar las alas de jóvenes que aspiran a seguir estudiando en las mejores universidades del mundo, sólo porque el segmento de edad de más de 20 años fue vacunado con Sputnik V. El refuerzo fue AstraZeneca, pero eso no modifica nada 😔",3,0,2,"{'longitude': -99.180678, 'latitude': 19.444937}","{'fullName': 'Gustavo A. Madero, Distrito Federal', 'name': 'Gustavo A. Madero', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['justo', 'truncar', 'ala', 'joven', 'aspirar', 'seguir', 'estudiar', 'mejor', 'universidad', 'mundo', 'solo', 'segmento', 'edad', 'ano', 'vacunado', 'sputnik', 'refuerzo', 'astrazeneca', 'modifico']"
1539679111177797634,https://twitter.com/Heraldos2/status/1539679111177797634,2022-06-22 18:38:00+00:00,"Portazo por vacuna Sputnik V 😡!!
 Mi hija postuló para continuar sus estudios de posgrado en algunas universidades de Europa y Estados Unidos, pero no puede aspirar por haber sido vacunada con Sputnik
HAY FORMA LEGAL DE CAMBIAR ESTO?
DM🙏
@lximenezfyvie",18,5,8,"{'longitude': -99.180678, 'latitude': 19.444937}","{'fullName': 'Gustavo A. Madero, Distrito Federal', 'name': 'Gustavo A. Madero', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['portazo', 'vacuno', 'sputnik', 'hija', 'postulo', 'continuar', 'estudio', 'posgrado', 'universidades', 'europa', 'unidos', 'poder', 'aspirar', 'haber', 'ser', 'vacunar', 'sputnik', 'forma', 'legal', 'cambiar', 'de']"
1537936397566242818,https://twitter.com/cgg_mx/status/1537936397566242818,2022-06-17 23:13:05+00:00,@dyanamarm @LaAgenciaCDMX @EduardoClark @locatel_mx Qué confusión. Publicaron que sólo habría Sputnik V en el CENCIS…,0,0,0,"{'longitude': -99.2058092, 'latitude': 19.2970107}","{'fullName': 'Coyoacán, Distrito Federal', 'name': 'Coyoacán', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['confusion', 'publicar', 'solo', 'sputnik', 'cenais']"
1536357531932672001,https://twitter.com/keniajh2/status/1536357531932672001,2022-06-13 14:39:14+00:00,"👁️Asiste el día y hora de tu preferencia

💉1ª y 2ª dosis para las y los adolescentes de 12 a 17 años con la vacuna Pfizer
💉Personas de 18 años o más sin vacunación, recibirán el esquema unidosis CanSino
💉CanSino y Sputnik V (refuerzo) para mayores de edad con comorbilidades y",0,0,2,"{'longitude': -99.1919955, 'latitude': 19.357102}","{'fullName': 'Benito Juárez, Distrito Federal', 'name': 'Benito Juárez', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['asir', 'dia', 'hora', 'preferencia', 'dosis', 'adolescente', 'ano', 'vacuna', 'pfizer', 'persona', 'ano', 'vacunacion', 'recibiran', 'esquema', 'unidos', 'cansino', 'cansino', 'sputnik', 'refuerzo', 'mayor', 'edad', 'comorbilidad']"
1524998872698953729,https://twitter.com/enerometalero/status/1524998872698953729,2022-05-13 06:23:59+00:00,"@CarlosHdzib @Lalopez4T @VidalMartnez13 @GlodeJo07 Jajaja validación externa de un organismo independiente, si claaaaro como la OMS cierto?? Que no certifica la vacuna Sputnik V por qué es Rusa jajaja como es tan fácil engañar a los de mente débil. En fin sigue creyendo que es independiente 🤣🤣🤣🤣🤣",0,0,1,"{'longitude': -99.259495, 'latitude': 19.3863707}","{'fullName': 'Miguel Hidalgo, Distrito Federal', 'name': 'Miguel Hidalgo', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['jajaja', 'validacion', 'externo', 'organismo', 'independiente', 'si', 'claro', 'oms', 'cierto', 'certificar', 'vacuno', 'sputnik', 'ruso', 'jajaja', 'tanto', 'facil', 'enganar', 'mente', 'debil', 'fin', 'seguir', 'creer', 'independiente']"
1517715199154917378,https://twitter.com/MarisaSwarovski/status/1517715199154917378,2022-04-23 04:01:15+00:00,"@gorka_orive En México están aplicando una cuarta dosis de Astra Zeneca a adultos mayores sin importar si han recibido otras vacunas como Pfizer, Sputnik V, Cansino, Moderna. ¿Habrá algo que respalde su aplicación? ¿Lo considera útil, innecesario o riesgoso? Agradeceré mucho su opinión.",1,0,0,"{'longitude': -99.2058092, 'latitude': 19.2970107}","{'fullName': 'Coyoacán, Distrito Federal', 'name': 'Coyoacán', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['mexico', 'aplicar', 'cuarto', 'dosis', 'astrazeneca', 'adulto', 'mayor', 'importar', 'si', 'recibido', 'vacuna', 'pfizer', 'sputnik', 'cansino', 'moderna', 'respalde', 'aplicacion', 'considerar', 'util', 'innecesario', 'riesgoso', 'agradecere', 'opinion']"
1509222030620696582,https://twitter.com/luis_1451/status/1509222030620696582,2022-03-30 17:32:26+00:00,"Señor Roberto como notamos que gracias a sus 2 dosis de #SputnikV tiene unas incesantes ganas de invadir Ucrania decidimos ponerle #AstraZeneca ¿De acuerdo?

Luis: si venga el liquido https://t.co/mseQEKvMVu",2,0,0,"{'longitude': -99.118665, 'latitude': 19.484399}","{'fullName': 'Ecatepec de Morelos, México', 'name': 'Ecatepec de Morelos', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['senor', 'roberto', 'notar', 'gracias', 'dosis', 'sputnik', 'uno', 'incesante', 'gana', 'invadir', 'ucrania', 'decidir', 'poner', 'astrazeneca', 'acuerdo', 'luis', 'si', 'venir', 'liquido']"
1507754557304098819,https://twitter.com/alexishdz79/status/1507754557304098819,2022-03-26 16:21:13+00:00,Sputnik v me tiene así ! https://t.co/2d7hMKtZXb,2,0,1,"{'longitude': -99.118665, 'latitude': 19.484399}","{'fullName': 'Ecatepec de Morelos, México', 'name': 'Ecatepec de Morelos', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['sputnik', 'asi']"
1507219178557779988,https://twitter.com/herh_/status/1507219178557779988,2022-03-25 04:53:49+00:00,"Con el conflicto Rusia-Ucrania, olvídense que la vacuna Sputnik V sea aprobada por la OMS y la FDA. Los que tengan el esquema busquen otro si piensan salir del país.

La libertad y las vacunas están en función de la política.",0,0,0,"{'longitude': -99.180678, 'latitude': 19.444937}","{'fullName': 'Gustavo A. Madero, Distrito Federal', 'name': 'Gustavo A. Madero', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['conflicto', 'rusia', 'ucrania', 'olvidense', 'vacuno', 'sputnik', 'aprobado', 'om', 'dar', 'esquema', 'buscar', 'si', 'pensar', 'salir', 'pais', 'libertad', 'vacuno', 'funcionar', 'politico']"
