id,url,date,content,likeCount,retweetCount,replyCount,coordinates,place,latitud,longitud,radio,tweet_tokenizado
1573790019545960450,https://twitter.com/agarcia2727/status/1573790019545960450,2022-09-24 21:42:34+00:00,"@Reforma Mi hijo de 10 años no lo pude vacunar porque enfermo de covid cuando le tocaba, le he llevado 3 veces más para que lo vacunen y no me han dejado porque se paso su fecha y tengo que esperar a cuando sean los resagados de su edad, es patético el manejo de la vacunación @Edomex",1,0,0,"{'longitude': -99.6470277, 'latitude': 19.2156239}","{'fullName': 'Metepec, México', 'name': 'Metepec', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['hijo', 'ano', 'poder', 'vacunar', 'enfermo', 'covid', 'tocar', 'llevado', 'veces', 'vacunir', 'dejado', 'paso', 'fecha', 'esperar', 'rezagado', 'edad', 'patetico', 'manejo', 'vacunacion']"
1573507899120394242,https://twitter.com/Sil_Glez0311/status/1573507899120394242,2022-09-24 03:01:32+00:00,"Vacunación COVID-19 en CDMX para niños de 5 años inicia el 26 de septiembre de 2022 - Uno TV https://t.co/OXiwgrOMHN Deben ver sean vacunas pediátricas Pfizer,se compramos 8millones,la población d 5a11 años es 23.5 millones,lopez dijo q compraron vacuna cubana sin aval d la @OMS",0,0,0,"{'longitude': -99.118665, 'latitude': 19.484399}","{'fullName': 'Ecatepec de Morelos, México', 'name': 'Ecatepec de Morelos', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['vacunacion', 'covid', 'como', 'nino', 'ano', 'iniciar', 'septiembre', 'tv', 'deber', 'ver', 'vacuna', 'pediatrica', 'pfizer', 'comprir', 'millon', 'poblacion', 'ano', 'millon', 'lopez', 'decir', 'comprar', 'vacuna', 'cubano', 'aval']"
1573475556514996229,https://twitter.com/TolucaGob/status/1573475556514996229,2022-09-24 00:53:01+00:00,"¡APLICAMOS MÁS DE 35,000 VACUNAS! 💉
Concluimos con éxito la jornada de vacunación contra COVID-19 para niñas y niños de 9, 10 y 11 años. 👧🏻👦🏻

Agradecemos el compromiso de los servidores públicos de los tres órdenes de gobierno, así como al personal de salud por su gran labor. https://t.co/HFdMTLy9c0",7,3,1,"{'longitude': -99.7825792, 'latitude': 19.0763934}","{'fullName': 'Toluca, México', 'name': 'Toluca', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['aplicar', 'vacuna', 'concluimos', 'exito', 'jornado', 'vacunacion', 'covid', 'nina', 'nino', 'ano', 'agradecer', 'compromiso', 'servidor', 'publico', 'tres', 'orden', 'gobierno', 'asi', 'personal', 'salud', 'gran', 'labor']"
1572677552501846019,https://twitter.com/rosigrecco/status/1572677552501846019,2022-09-21 20:02:02+00:00,"Pues la vacunación Covid va viento en popa,eso sí,ni se les ocurra lastimarse con un fierro oxidado porque van a pasar las de Caín para conseguir vacuna para tétanos. Como si lo única enfermedad mortal fuera covid,cada vez nuestro sistema de salud se acerca más al de Dinamarca.",1,0,0,"{'longitude': -99.128294, 'latitude': 19.4043522}","{'fullName': 'Venustiano Carranza, Distrito Federal', 'name': 'Venustiano Carranza', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['pues', 'vacunacion', 'covid', 'ir', 'viento', 'popa', 'ocurrir', 'lastimar', 'fierro', 'oxidado', 'ir', 'pasar', 'cain', 'conseguir', 'vacuna', 'tetano', 'si', 'unicar', 'enfermedad', 'mortal', 'covid', 'cada', 'vez', 'sistema', 'salud', 'acerca', 'dinamarca']"
1572414384189603840,https://twitter.com/Citizen02533883/status/1572414384189603840,2022-09-21 02:36:17+00:00,"La oposición está furiosa porque el AIFA, las refinerías de Deer Park y Dos Bocas, así como la vacunación contra el covid-19 de toda la población, demuestran que los gobiernos prianistas se dedicaron al saqueo y a endeudar al país. https://t.co/UlR0AQ28l0",18,4,1,"{'longitude': -99.2058092, 'latitude': 19.2970107}","{'fullName': 'Coyoacán, Distrito Federal', 'name': 'Coyoacán', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['oposicion', 'furioso', 'alfa', 'refineria', 'deer', 'park', 'dos', 'boca', 'asi', 'vacunacion', 'covid', 'todo', 'poblacion', 'demostrar', 'gobierno', 'pianista', 'dedicar', 'saqueo', 'endeudar', 'pais']"
1572356843371888642,https://twitter.com/BrianOnizuka/status/1572356843371888642,2022-09-20 22:47:39+00:00,"Centro de vacunacion COVID zona oriente de la CDMX, para niños de a 11 años, primera y 2da dosis, Centro de Salud Chinampac de Juárez
55 5745 0681
https://t.co/9t7IWDJe6l",0,0,1,"{'longitude': -99.140238, 'latitude': 19.2846922}","{'fullName': 'Iztapalapa, Distrito Federal', 'name': 'Iztapalapa', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['centro', 'vacunacion', 'covid', 'zona', 'oriente', 'como', 'nino', 'ano', 'primero', 'segundo', 'dosis', 'centro', 'salud', 'chinampac', 'juarez']"
1571923898194862081,https://twitter.com/TolucaGob/status/1571923898194862081,2022-09-19 18:07:16+00:00,"#ATENCIÓN 💉 | Inicia la Jornada de Vacunación contra COVID-19 para 2ª dosis a niñas y niños de 9 a 11 años, del 20 al 23 de septiembre. Contamos como sede única la Junta Local de Caminos. #TolucaSeCuida https://t.co/V1qbn6Silz",4,2,2,"{'longitude': -99.7825792, 'latitude': 19.0763934}","{'fullName': 'Toluca, México', 'name': 'Toluca', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['io', 'iniciar', 'jornado', 'vacunacion', 'covid', 'dosis', 'nina', 'nino', 'ano', 'septiembre', 'contar', 'sede', 'unico', 'junta', 'local', 'camino', 'tocar', 'cuidar']"
1571916760370249731,https://twitter.com/RaymundoMC/status/1571916760370249731,2022-09-19 17:38:55+00:00,#ATENCIÓN 💉| Del 20 al 23 de septiembre comienza la Jornada de Vacunación para la 2ª dosis contra COVID-19 a niñas y niños de 9 a 11 años. Los menores deben acudir acompañados de una persona mayor de 18 años. Contamos como sede única la Junta Local de Caminos. #TolucaSeCuida https://t.co/TJp2PXCSGl,41,18,9,"{'longitude': -99.7825792, 'latitude': 19.0763934}","{'fullName': 'Toluca, México', 'name': 'Toluca', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['io', 'septiembre', 'comenzar', 'jornado', 'vacunacion', 'dosis', 'covid', 'nina', 'nino', 'ano', 'menor', 'deber', 'acudir', 'acompanado', 'persona', 'mayor', 'ano', 'contar', 'sede', 'unico', 'junta', 'local', 'camino', 'tocar', 'cuidar']"
1571868603468906497,https://twitter.com/ContinuamosMX/status/1571868603468906497,2022-09-19 14:27:33+00:00,"#Salud LISTA APLICACIÓN DE SEGUNDA DOSIS DE VACUNA CONTRA #COVID19 PARA NIÑAS Y NIÑOS DE 9, 10 Y 11 AÑOS EN #EDOMEX https://t.co/uNwYA9CL2h #Vacunas #VacunacionCOVID",1,1,0,"{'longitude': -99.2481811, 'latitude': 19.498594}","{'fullName': 'Tlalnepantla de Baz, México', 'name': 'Tlalnepantla de Baz', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['salud', 'listo', 'aplicacion', 'segundo', 'dosis', 'vacuna', 'nina', 'nino', 'ano', 'vacuno', 'vacunacion']"
1569712368782811139,https://twitter.com/alanislaura/status/1569712368782811139,2022-09-13 15:39:27+00:00,"Lloradera por aquí... Lloradera por allá... Lloradera hasta allá... 
¿Dónde estoy? 

Fila de vacunación para infantes vs Covid. Segunda vuelta. 

🙄",2,0,0,"{'longitude': -99.1843501, 'latitude': 19.3998346}","{'fullName': 'Cuauhtémoc, Distrito Federal', 'name': 'Cuauhtémoc', 'type': 'city', 'country': 'Mexico', 'countryCode': 'MX'}",19.309917325231165,-99.12243737329996,31.28km,"['lloradera', 'aqui', 'lloradera', 'allo', 'lloradero', 'allo', 'donde', 'filar', 'vacunacion', 'infant', 'covid', 'segundo', 'vuelta']"
