Unnamed: 0,Dominant_Topic,Perc_Contribution,Topic_Keywords,tweet_tokenizado,url,tweet,dia,mes,año,latitud,longitud,alcaldia,termino
2,1,0.3128,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['traer', 'vacuna', 'comer', 'graduacion', 'traer', 'booster', 'alvaro', 'oregon', 'grande', 'muchacho', 'humildad']",https://twitter.com/jantonio_cv/status/1481868623555829761,@JMMendozaPonce @garcialcocer @ITAM_mx @ExITAM @SantiagoAlbaIb No solo trajo la vacuna de omicron a la graduación; igual trajo el booster a la Álvaro Obregón. Que grande es este muchacho qué humildad 😫😫👌🏼,13,1,2022,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
220,1,0.3075,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['acompanar', 'hermano', 'grande', 'vacuna', 'ruso', 'alvaro', 'oregon', 'proceso', 'duro', 'hora', 'treinta', 'minuto', 'importante', 'delegacion', 'grande', 'hernandez', 'sorprendente']",https://twitter.com/JULIANHERPER/status/1398017302977712134,"Acompañe a mis hermanos los grandes a ponerse la vacuna rusa en la Álvaro Obregón, el proceso duro dos horas treinta minutos pero eso no es lo importante, pues es una delegación muy grande y hay muchos Hernández. Lo sorprendente es que me di cuenta que:",27,5,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
235,1,0.392,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['tio', 'abuelo', 'vino', 'infarto', 'semana', 'lograr', 'atender', 'infarto', 'vacuna', 'astrazeneca', 'alvaro', 'oregon', 'creer', 'fervientemente', 'ocasiono', 'vacuna', 'opinar']",https://twitter.com/Reina_Stata/status/1382927830804090880,"A uno de mis tíos abuelos le vino un infarto hace dos semanas. Todo bien, lograron atenderlo a tiempo. Pero nos dijo que dos días antes del infarto lo habían vacunado (AztraZeneca) en Álvaro Obregón. Él cree fervientemente que todo lo ocasionó la vacuna
¿Ustedes qué opinan?",16,4,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
269,1,0.4187,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['vivo', 'naucalpan', 'puse', 'vacuna', 'azcapotzalco']",https://twitter.com/Alva95980837/status/1488295786282725382,@locatel_mx Actualmente vivo en Naucalpan cuando me puse la vacuna estaba en Azcapotzalco,31,1,2022,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
341,1,0.4222,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['bello', 'azcapotzalco', 'vacuna', 'habitante', 'sentir', 'macizo']",https://twitter.com/AlfredoRendonV/status/1435422113133998085,En la bella Azcapotzalco - que no vacuna a sus habitantes - se sintió macizo.,7,9,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
437,1,0.3292,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['preocupado', 'vacuna', 'azcapotzalco', 'sentir', 'desprotegido', 'medida', 'necesario']",https://twitter.com/JazzJaxz/status/1422050939020709890,@liliana_sosa Pues preocupados sin saber para cuando la vacuna en Azcapotzalco y uno se siente pues algo desprotegido a pesar de tomar las medidas necesarias,1,8,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
509,1,0.2791,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['vacuna', 'padre', 'vivir', 'azcapotzalco', 'sentir', 'contento', 'salir', 'caminar', 'parque', 'pedir', 'cubrebocas']",https://twitter.com/AlfonsoCorts13/status/1372627439722053636,"@BJAlcaldia Le pusieron la vacuna a mis padres que viven en Azcapotzalco y me siento muy muy contento, aún así cuando salen a caminar al parque les pido que siempre tengan su cubrebocas. 🙌🏼",18,3,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
543,1,0.3644,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['madre', 'vacuna', 'pfizer', 'precisamente', 'azcapotzalco', 'semana', 'fiebre', 'dolor brazo']",https://twitter.com/eddygranny/status/1371554938732576776,@lopezdoriga Mi madre se puso la #vacuna de #Pfizer precisamente en #azcapotzalco la semana pasada. Al otro día tuvo fiebre y dolor de brazo. Pero solo fue un día. https://t.co/jUOSS3aaFA,15,3,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
544,1,0.3645,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['madre', 'vacuna', 'pfizer', 'precisamente', 'azcapotzalco', 'semana', 'fiebre', 'dolor brazo']",https://twitter.com/eddygranny/status/1371554017394970626,Mi madre se puso la #vacuna de #Pfizer precisamente en #azcapotzalco la semana pasada. Al otro día tuvo fiebre y dolor de brazo. Pero solo fue un día. https://t.co/9ALNRfcSdA,15,3,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
635,1,0.311,"potente, sputnik, sentir, astrazeneca, cubrebocas, efecto, pasar, ruso, quedate, refuerzo","['ano', 'vives', 'benito', 'juez', 'trasladar', 'campo', 'marte', 'refuerzo', 'vacuna', 'concurso', 'idea', 'pendeja']",https://twitter.com/oscarszarate/status/1479156561339637766,"Eres mayor de 60 años, vives en Benito Juárez y tienes que trasladarte hasta Campo Marte para el refuerzo de la vacuna. ¿Hubo concurso para la idea más pend*ja?",6,1,2022,19.3717897,-99.1579191,Benito Juárez,"""vacuna Benito JuÃ¡rez"""
