Unnamed: 0,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,url,tweet,dia,mes,año,latitud,longitud,alcaldia,termino
54,7.0,0.3111,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['aplicar', 'vacuna', 'avaro', 'oregon', 'burla', 'dosis', 'luz', 'regreso', 'presencial', 'clase', 'joven', 'vacuna']",https://twitter.com/Choche007134743/status/1437839936049274881,"@GobCDMX Y cuando aplican la vacuna en alvaro obregon, parece burla que en algunas ya va la segunda dosis y aquí ni sus luces, quieren regreso presencial a clases y los jóvenes no están vacunados",14,9,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
190,7.0,0.3336,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['pinche', 'ley', 'vacuna', 'avaro', 'oregon', 'expo', 'santo', 'fe', 'fila', 'enorme']",https://twitter.com/lettuceheck/status/1418280090950062081,Pinches weyes! Sin vacuna 50-59 en Alvaro Obregón expo Santa Fe. Fila enoooooooorme 🤬🤬,22,7,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
219,7.0,0.3889,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['dosis', 'vacuna', 'alvaro', 'oregon', 'junta', 'primero', 'vacuna', 'expo', 'santo', 'fe']",https://twitter.com/rokalitos14/status/1398837978991104001,@SSalud_mx la segunda dosis de la vacuna de los de 60 y más de álvaro obregón se junta con la primer vacuna de los de 40 y mas en expo santa fe?,29,5,2021,19.3894713,-99.1957079,Álvaro Obregón,"""vacuna Ãlvaro ObregÃ³n"""
284,7.0,0.6221,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['abandonar', 'banda', 'azcapotzalco', 'culero', 'vacuna', 'inventar', 'petrolero', 'vid']",https://twitter.com/DuLizard_/status/1441441474810368000,"Si abandonaron a la Banda de Azcapotzalco bien culero con la vacuna. ¿Es por inventar las petroleras, vdd?",24,9,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
332,7.0,0.4725,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['vacuna', 'ano', 'azcapotzalco', 'alcanzamo', 'vacuna', 'arena', 'ciudad', 'mexico']",https://twitter.com/rosvazquezmont/status/1436810897712984070,@Claudiashein En dónde nos podemos vacunar los de 40 a 49 años de Azcapotzalco que ya no alcanzamos vacuna en la Arena Ciudad de México,11,9,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
355,7.0,0.41,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['vacuna', 'chico', 'ano']",https://twitter.com/alma_garcia2000/status/1433161983474364416,@AzcapotzalcoMx @FdzRich @AzcapotzalcoSoy @vycazcapotzalco @Azcapotzalco_ @vidallerenas @SEP_mx @GobCDMX @SOBSECDMX @Claudiashein @AzcapotzalcoD Para cuando la vacuna para los chicos de 18 años,1,9,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
360,7.0,0.5278,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['ojala', 'toque', 'vacuna', 'azcapotzalco']",https://twitter.com/You_Yol/status/1432795078016241668,Ojalá y ya me toqué mi vacuna. @SSalud_mx @SSaludCdMx #Azcapotzalco,31,8,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
494,7.0,0.3889,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['sabado', 'aca', 'fila', 'seguir', 'dia', 'dia', 'arena', 'azcapotzalco', 'vacuna']",https://twitter.com/Xinich2/status/1383471698586918917,En sabado. Y aca las filas que siguen dia a dia en la arena Azcapotzalco para la vacuna https://t.co/PrDXsk4vqn,17,4,2021,19.4837824,-99.1844166,Azcapotzalco,"""vacuna Azcapotzalco"""
951,7.0,0.4445,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['encantar', 'aprender', 'idioma', 'ojala', 'toque', 'vacuna', 'rusasera', 'prontovivo', 'benito', 'juez']",https://twitter.com/Morenoemmiux/status/1362494147194544129,"@spimred @TheBigLudwig A mi que me encanta aprender nuevos idiomas, ojalá me toque la vacuna rusa...será pronto...vivo en Benito Juárez y tengo un poco más de 60...",18,2,2021,19.3717897,-99.1579191,Benito Juárez,"""vacuna Benito JuÃ¡rez"""
967,7.0,0.4999,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['papas', 'preguntar', 'clinica', 'coyoacan', 'pa', 'vacuna', 'andaban', 'nino']",https://twitter.com/BernasTreSant10/status/1543319899874934787,"@DiegoCastaneda Mis papás fueron ayer a preguntar a una clínica en Coyoacán porque en la pág de la vacuna cdmx decía que la andaban poniendo,  pero les dijeron que sólo había para los niños  😢",2,7,2022,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
972,7.0,0.5555,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['chico', 'experimentar', 'vacuna']",https://twitter.com/SUperMarioAnti4/status/1508986405321687042,@AntilopeMalo @evilscrat @maurotimauroti @ElLoboFenix @ManuelVegaMX @liderponce574 @ROLFICOMPAFUEGO @rolycarva_21 @RicardoRaulHer7 @pejestad @blkalexmx @_JEAL @AcmeMxx @RolandoAndamus @adnware @MinekoKia @coyoacan_leon @NateHowl @NETORO70 @netoro7 @LiberwolfLiber @Het_Rber @Dig1Tesla @Lpez1Pio @Bernandolo @GianinoGian @AlanFrancisco75 @jkJenny @KleineKrOteFifi @Vane_SiVal @napoles_o @AnalystTyrion @GaboCTuLove @el_Barto__ @vanBravenRizzo @Gabbicha_rueda @secuaz @JL0_42 @crucio22791848 @samcro876376274 @elcuadriguero @SapitoFifiWoWo @MexSinChairos @Trek36873447 @TQuedateencasa @AlxRosas @sonbienviboras @paco_yunque_ @emv77 Esos chairos podríamos usarlos para experimentar con ellos alguna vacuna,29,3,2022,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
998,7.0,0.3704,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['pandemia', 'xd', 'vacuna', 'sputnik']",https://twitter.com/HugoEmanuel_HE/status/1444333115544064002,"Aquí con el buen #Pandemio 🐼xD 
#vacuna #coyoacan #sputnik #cdmx https://t.co/llhSJLJpwL",2,10,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1000,7.0,0.5278,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['banda', 'vacuna', 'coyoacan', 'pandemia', 'vacuna']",https://twitter.com/APARofficial/status/1444059020541808642,Banda alguno de ustedes que se vacunó en Coyoacán pudo ver a Pandemio o a Vacuna? 🥺,1,10,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1013,7.0,0.4445,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['toque', 'vacuna', 'coyoacan', 'cancion', 'agarrar', 'vacuna', 'favor', 'ponganse', 'musica', 'varon']",https://twitter.com/AleFabila4/status/1441592490818248705,@GobCDMX Cuando Toque Mi Vacuna En Coyoacán Podrían Poner Canciones De @BTS_twt Para Agarrar Valor Por La Vacuna?? 🥺🥺💜 POR FAVOR😭😭😭 PONGANME MÚSICA DE MIS VARONESSSS!! #BTSARMY #CDMX @Alcaldia_Coy https://t.co/Qf7ukxST4a,24,9,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1017,7.0,0.4567,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['acabar', 'enterar', 'sputnik', 'coyoacan', 'vacuna', 'my', 'mame', 'is', 'yekaterinar', 'patrona', 'zamolodchikova', 'but', 'you', 'can', 'call', 'katyo']",https://twitter.com/Its_Abe_Bitch_/status/1441462238036971522,"Me acabo de enterar que van a poner Sputnik en Coyoacán: 

Después de la vacuna, 
Yo: My mame is Yekaterina Petrovna Zamolodchikova, but you can call me Katya https://t.co/vw5gW2l3zF",24,9,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1101,7.0,0.2778,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['coyoacan', 'pandemia', 'vacuna', 'rapido']",https://twitter.com/Geocentrica/status/1437841672163966979,En Coyoacán no nos quieren ☹️ Ni Pandemio ni Vacuna 🥲 Aunque fue muy rápido todo 👌🏼,14,9,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1314,7.0,0.7037,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['recomendar', 'nacido', 'falsificar', 'documento', 'irme', 'vacuna', 'xochimilconesitamos', 'vacuna']",https://twitter.com/LaDamaEskarlata/status/1428705917135171587,@Fidegar Para cuando coyoacan 18-29???? O recomiendan hacer la nacada de falsificar documentos e irme a vacunar a Xochimilco???necesitamos la vacuna ya!!!!!,20,8,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1315,7.0,0.3704,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['pandemia', 'vacuna', 'coyoacan', 'llover', 'pedazos']",https://twitter.com/0svaldoo7/status/1428621196418027526,Si Pandemio no esta el día de la vacuna en Coyoacán van a llover putazos,20,8,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
1392,7.0,0.4444,"dia, pandemia, mama, papas, seguro, clase, ojala, toque, moderna, fase","['operar', 'matar', 'perforan', 'miedo', 'inofensiva', 'vacuna', 'ojala', 'coyoacan', 'toque', 'bailar', 'ambientar']",https://twitter.com/lauranilamx/status/1420845075337199621,"@alan_estrada Pero bien que se operan, tatúan, perforan, y les da miedo una inofensiva vacuna. 😂
Ojalá en Coyoacán me toque bailar para ambientarme. 😂",29,7,2021,19.3500942,-99.1623319,Coyoacán,"""vacuna CoyoacÃ¡n"""
