,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,lat,lon
22,7.0,0.4045,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['ay', 'molestar', 'recabar', 'vacuna', 'regalar', 'lastimar', 'gustar', 'jaja']",19.2156239,-99.6470277
30,7.0,0.6151,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['normalicen', 'llorar', 'recibir', 'vacuna', 'memoria', 'gente', 'oportunidad', 'llore', 'festejaron', 'vacuna', 'vacuna', 'vacuna', 'obligatorio', 'vacuna']",19.425040206309205,-99.19772386550903
38,7.0,0.3673,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['animo', 'mega', 'nervioso', 'sentir', 'vacuna']",19.3998346,-99.1843501
42,7.0,0.775,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['vacuna', 'astrazeneca', 'sentir', 'verga']",19.2156239,-99.6470277
56,7.0,0.775,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['imbecil', 'hablador', 'formado', 'fila', 'dosis', 'vitacilina']",19.357102,-99.1919955
57,7.0,0.775,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['tranquilidad', 'mama', 'papa', 'vacuna']",19.3863707,-99.259495
85,7.0,0.55,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['leyendo', 'analizando', 'malestar', 'vacuna', 'reto']",19.3998346,-99.1843501
108,7.0,0.4625,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['guerradevecinos', 'llegar', 'julio', 'vecino', 'complicado', 'divertido', 'preparate', 'recibir', 'dosis', 'risa', 'serie', 'original', 'neelix', 'guerradevecinos', 'pierda']",19.375769,-99.137171
110,7.0,0.7749,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['mierda', 'humano', 'quedar', 'formado', 'vacuna', 'oposicion', 'moralmente', 'derrotado']",19.2846922,-99.140238
118,7.0,0.8199,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['tocar', 'vacuna', 'sabado', 'alguien', 'vacuna', 'jajajaja']",19.2970107,-99.2058092
130,7.0,0.3895,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['vacuna', 'musica', 'bailo', 'cuarentones', 'fauna', 'extremista', 'jodido', 'vital', 'rapido', 'acusarian', 'rociaria', 'cylon', 'gracias', 'kurt', 'robar', 'favor', 'recibir']",19.497886667010462,-99.17521476745604
147,7.0,0.82,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['tocar', 'dosis', 'sabado', 'marino', 'anales', 'trillon', 'pal', 'sabado']",19.2970107,-99.2058092
153,7.0,0.55,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['duda', 'vacuna']",19.498594,-99.2481811
164,7.0,0.385,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['representar', 'aficionadas', 'encontrar', 'manana', 'disfrutar', 'delicioso', 'chilesennogad', 'ingrediente', 'favorito', 'celebracion', 'amor', 'recibir', 'dosis', 'carino', 'vibrar', 'quedar', 'delicioso']",19.2156239,-99.6470277
173,7.0,0.82,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['chinguen', 'madre', 'aparte', 'beber', 'verga', 'vacuna']",19.2846922,-99.140238
197,7.0,0.4201,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['oficialmente', 'dosis', 'vacuna', 'muerto', 'salir', 'superpoder', 'pd', 'enceraron', 'vacuna']",19.498594,-99.2481811
208,7.0,0.5004,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['vacuna', 'astrazeneca', 'doler', 'fiebre', 'desastre', 'inmediaciones', 'cenais', 'marina', 'adentro', 'organizado', 'pensar', 'tamano', 'negocio', 'vacunaciones', 'dato', 'grande', 'cripta']",19.2970107,-99.2058092
211,7.0,0.6306,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['amigo', 'necesitar', 'ayuda', 'mama', 'asistir', 'concierto', 'coldplay', 'meter', 'certificado', 'vacuna', 'aparecer', 'registro', 'dosis', 'hoja', 'sellar', 'vacuna', 'presentar']",19.152878,-99.1600234
214,7.0,0.7,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['mama', 'papa', 'vacuna']",19.365037,-99.179868
227,7.0,0.2558,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['experiencia', 'rodar', 'pista', 'alfa', 'volver', 'repetir', 'valio', 'pena', 'esfuerzo', 'llegar', 'regresar', 'rodar', 'inclemente', 'sol', 'intenso', 'trafico', 'polvareda', 'cansancio', 'santo', 'lucir']",19.382802,-99.154199
246,7.0,0.5248,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['mierda', 'deme', 'maldito', 'vacuna', 'volver', 'zanganos']",19.498594,-99.2481811
247,7.0,0.85,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['principio', 'andas', 'lamiendo', 'pata', 'gente', 'alguien', 'tira', 'mierda', 'cansancio', 'risa']",19.2970107,-99.2058092
256,7.0,0.7,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['manipular', 'miedo', 'tranquilo', 'requerir', 'vacuna']",19.357102,-99.1919955
